mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2020-01-01 01:30:00,2020-01-01 03:15:00,2.0,6.9,7.1375,1
2020-01-01 04:45:00,2020-01-01 08:45:00,4.25,6.3,6.852941176470588,4
2020-01-01 12:30:00,2020-01-01 19:45:00,7.5,7.3,8.24,12
2020-01-01 22:00:00,2020-01-02 01:45:00,4.0,7.3,7.668749999999999,22
2020-01-02 04:30:00,2020-01-02 09:15:00,5.0,6.9,7.209999999999999,4
2020-01-02 11:00:00,2020-01-02 13:15:00,2.5,7.2,7.460000000000001,11
2020-01-02 22:30:00,2020-01-03 01:15:00,3.0,6.9,7.208333333333333,22
2020-01-03 07:15:00,2020-01-03 09:45:00,2.75,5.9,6.5,7
2020-01-03 21:30:00,2020-01-03 22:45:00,1.5,6.4,6.516666666666667,21
2020-01-04 14:45:00,2020-01-04 15:30:00,1.0,5.9,6.074999999999999,14
2020-01-05 09:15:00,2020-01-05 22:00:00,13.0,4.9,6.673076923076923,9
2020-01-06 00:45:00,2020-01-06 02:00:00,1.5,6.0,6.6499999999999995,0
2020-01-06 07:45:00,2020-01-06 10:45:00,3.25,5.1,5.846153846153846,7
2020-01-06 12:45:00,2020-01-06 14:15:00,1.75,7.5,7.757142857142857,12
2020-01-06 18:15:00,2020-01-06 20:15:00,2.25,7.1,7.466666666666667,18
2020-01-06 21:45:00,2020-01-06 22:30:00,1.0,6.7,6.95,21
2020-01-07 00:00:00,2020-01-07 00:30:00,0.75,7.3,7.566666666666666,0
2020-01-07 02:00:00,2020-01-07 02:30:00,0.75,6.7,6.833333333333333,2
2020-01-07 06:00:00,2020-01-07 06:15:00,0.5,6.2,6.300000000000001,6
2020-01-07 08:15:00,2020-01-07 09:00:00,1.0,6.4,6.675,8
2020-01-07 11:00:00,2020-01-07 14:30:00,3.75,6.7,7.246666666666665,11
2020-01-07 20:30:00,2020-01-08 03:45:00,7.5,6.1,7.480000000000001,20
2020-01-08 12:00:00,2020-01-08 14:00:00,2.25,6.6,7.011111111111111,12
2020-01-08 23:30:00,2020-01-09 01:30:00,2.25,7.6,8.244444444444444,23
2020-01-09 10:30:00,2020-01-09 12:15:00,2.0,6.7,6.800000000000001,10
2020-01-09 14:00:00,2020-01-09 15:45:00,2.0,7.4,7.700000000000001,14
2020-01-10 01:30:00,2020-01-10 04:00:00,2.75,6.9,7.554545454545454,1
2020-01-10 08:45:00,2020-01-10 10:30:00,2.0,6.6,6.725,8
2020-01-11 01:30:00,2020-01-11 02:30:00,1.25,7.4,7.640000000000001,1
2020-01-11 04:00:00,2020-01-11 05:15:00,1.5,6.4,6.699999999999999,4
2020-01-12 01:45:00,2020-01-12 03:30:00,2.0,5.7,6.3125,1
2020-01-12 10:45:00,2020-01-12 11:45:00,1.25,5.8,5.88,10
2020-01-12 23:45:00,2020-01-13 03:45:00,4.25,5.8,6.8999999999999995,23
2020-01-13 11:00:00,2020-01-13 14:30:00,3.75,5.4,5.706666666666666,11
2020-01-14 01:00:00,2020-01-14 02:30:00,1.75,6.4,7.114285714285715,1
2020-01-14 04:00:00,2020-01-14 05:00:00,1.25,5.8,5.96,4
2020-01-14 14:45:00,2020-01-14 17:30:00,3.0,6.1,6.483333333333333,14
2020-01-14 19:00:00,2020-01-14 19:30:00,0.75,5.9,6.033333333333334,19
2020-01-15 03:00:00,2020-01-15 03:45:00,1.0,6.3,6.449999999999999,3
2020-01-15 06:00:00,2020-01-15 07:00:00,1.25,5.3,5.78,6
2020-01-15 13:15:00,2020-01-15 14:15:00,1.25,4.7,5.24,13
2020-01-15 15:45:00,2020-01-16 03:15:00,11.75,4.7,5.81276595744681,15
2020-01-16 05:15:00,2020-01-16 08:15:00,3.25,4.4,4.984615384615386,5
2020-01-16 11:00:00,2020-01-16 12:15:00,1.5,4.7,4.95,11
2020-01-16 15:15:00,2020-01-16 21:30:00,6.5,5.2,6.026923076923075,15
2020-01-16 23:00:00,2020-01-16 23:45:00,1.0,5.1,5.775,23
2020-01-17 04:15:00,2020-01-17 08:15:00,4.25,5.9,6.241176470588236,4
2020-01-17 13:00:00,2020-01-17 14:45:00,2.0,6.8,7.2875,13
2020-01-17 17:00:00,2020-01-17 18:30:00,1.75,6.3,6.714285714285714,17
2020-01-18 00:15:00,2020-01-18 01:00:00,1.0,6.7,6.825,0
2020-01-18 04:15:00,2020-01-18 05:15:00,1.25,6.5,6.7,4
2020-01-18 21:00:00,2020-01-19 00:00:00,3.25,5.4,6.076923076923077,21
2020-01-19 03:45:00,2020-01-19 06:15:00,2.75,4.8,5.045454545454546,3
2020-01-19 19:15:00,2020-01-19 20:15:00,1.25,7.9,8.120000000000001,19
2020-01-19 23:00:00,2020-01-19 23:30:00,0.75,7.2,7.3999999999999995,23
2020-01-20 17:45:00,2020-01-20 23:00:00,5.5,9.0,10.031818181818183,17
2020-01-21 00:30:00,2020-01-21 03:45:00,3.5,7.3,8.092857142857143,0
2020-01-21 16:30:00,2020-01-21 17:15:00,1.0,11.0,11.1,16
2020-01-22 00:00:00,2020-01-22 03:15:00,3.5,9.5,10.107142857142856,0
2020-01-22 05:45:00,2020-01-22 06:00:00,0.5,9.2,9.3,5
2020-01-22 12:45:00,2020-01-22 13:15:00,0.75,10.5,10.733333333333334,12
2020-01-22 14:45:00,2020-01-22 16:00:00,1.5,10.8,10.933333333333332,14
2020-01-22 23:45:00,2020-01-23 00:45:00,1.25,10.3,10.520000000000001,23
2020-01-23 03:00:00,2020-01-23 03:30:00,0.75,9.8,9.9,3
2020-01-24 01:00:00,2020-01-24 02:45:00,2.0,8.5,8.975000000000001,1
2020-01-25 00:00:00,2020-01-25 02:15:00,2.5,7.8,8.43,0
2020-01-26 00:15:00,2020-01-26 00:45:00,0.75,8.7,8.833333333333334,0
2020-01-26 09:30:00,2020-01-26 10:15:00,1.0,7.9,8.075,9
2020-01-26 12:15:00,2020-01-26 12:45:00,0.75,8.0,8.133333333333333,12
