mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2020-01-04 03:45:00,2020-01-04 04:45:00,1.25,5.3,5.86,3
2020-01-13 07:45:00,2020-01-13 11:30:00,4.0,5.2,5.675000000000001,7
2020-02-05 06:00:00,2020-02-05 07:00:00,1.25,5.2,5.6,6
2020-02-06 01:45:00,2020-02-06 02:30:00,1.0,6.3,6.575,1
2020-02-11 09:45:00,2020-02-11 11:00:00,1.5,5.3,6.016666666666667,9
2020-02-12 08:30:00,2020-02-12 10:00:00,1.75,5.0,5.8428571428571425,8
2020-02-13 09:30:00,2020-02-13 10:45:00,1.5,4.6,6.466666666666666,9
2020-02-25 09:00:00,2020-02-25 10:00:00,1.25,6.3,7.760000000000001,9
2020-03-05 00:00:00,2020-03-05 01:00:00,1.25,5.8,7.359999999999999,0
2020-05-14 01:30:00,2020-05-14 02:30:00,1.25,3.7,4.08,1
2020-05-17 02:15:00,2020-05-17 04:00:00,2.0,2.9,4.575,2
2020-05-26 22:15:00,2020-05-27 01:00:00,3.0,2.7,3.8249999999999997,22
2020-05-27 22:15:00,2020-05-27 23:30:00,1.5,2.9,4.0,22
2020-06-13 22:00:00,2020-06-14 00:00:00,2.25,2.8,4.355555555555556,22
2020-08-20 14:00:00,2020-08-20 14:45:00,1.0,4.8,4.85,14
2020-09-08 08:00:00,2020-09-08 09:30:00,1.75,2.0,2.7714285714285714,8
2020-09-25 16:15:00,2020-09-25 17:15:00,1.25,5.0,5.26,16
2020-09-27 15:45:00,2020-09-27 16:45:00,1.25,5.3,5.360000000000001,15
2020-09-28 21:30:00,2020-09-28 22:45:00,1.5,3.5,4.633333333333333,21
2020-10-25 14:15:00,2020-10-25 15:45:00,1.75,3.9,4.442857142857143,14
2020-11-11 13:00:00,2020-11-11 16:15:00,3.5,3.4,4.378571428571428,13
2020-11-12 03:45:00,2020-11-12 05:15:00,1.75,2.6,3.5857142857142854,3
2020-11-15 05:00:00,2020-11-15 09:45:00,5.0,3.0,3.525,5
2020-11-28 02:00:00,2020-11-28 07:45:00,6.0,4.0,4.6625000000000005,2
2020-11-29 04:15:00,2020-11-29 06:00:00,2.0,4.9,5.15,4
2020-12-13 02:45:00,2020-12-13 06:00:00,3.5,5.5,5.799999999999999,2
2021-01-01 07:00:00,2021-01-01 19:45:00,13.0,4.9,6.5307692307692315,7
2021-01-02 09:15:00,2021-01-02 14:45:00,5.75,6.3,6.995652173913044,9
2021-01-25 06:00:00,2021-01-25 08:45:00,3.0,5.4,6.0,6
2021-01-26 04:15:00,2021-01-26 08:00:00,4.0,5.4,5.8625,4
2021-01-27 05:45:00,2021-01-27 09:15:00,3.75,5.2,6.006666666666666,5
2021-02-10 07:15:00,2021-02-10 08:15:00,1.25,5.4,6.56,7
2021-02-11 18:30:00,2021-02-11 19:15:00,1.0,7.4,7.5,18
2021-02-26 07:30:00,2021-02-26 08:45:00,1.5,5.6,5.983333333333334,7
2021-02-27 07:15:00,2021-02-27 08:45:00,1.75,3.7,5.542857142857144,7
2021-02-28 07:45:00,2021-02-28 10:00:00,2.5,4.8,6.0600000000000005,7
2021-03-01 07:45:00,2021-03-01 11:30:00,4.0,5.3,6.1812499999999995,7
2021-03-01 13:15:00,2021-03-01 20:00:00,7.0,7.0,7.257142857142857,13
2021-03-17 22:00:00,2021-03-17 22:45:00,1.0,4.6,4.949999999999999,22
2021-03-26 02:45:00,2021-03-26 04:30:00,2.0,4.5,4.7875,2
2021-03-26 07:00:00,2021-03-26 09:15:00,2.5,3.3,4.59,7
2021-03-27 05:30:00,2021-03-27 08:15:00,3.0,4.2,4.958333333333333,5
2021-04-28 20:30:00,2021-04-28 21:30:00,1.25,4.4,4.959999999999999,20
2021-07-07 18:30:00,2021-07-07 21:00:00,2.75,3.4,4.109090909090909,18
2021-08-09 08:15:00,2021-08-09 09:00:00,1.0,1.7,2.075,8
2021-08-10 08:45:00,2021-08-10 12:00:00,3.5,1.5,2.307142857142857,8
2021-08-10 13:30:00,2021-08-10 15:15:00,2.0,2.5,3.8,13
2021-08-11 08:15:00,2021-08-11 15:15:00,7.25,1.4,2.7206896551724133,8
2021-08-12 11:15:00,2021-08-12 17:00:00,6.0,1.8,3.025,11
2021-08-17 17:45:00,2021-08-17 18:45:00,1.25,2.8,3.44,17
2021-09-15 16:45:00,2021-09-15 18:45:00,2.25,3.9,4.51111111111111,16
2021-09-17 14:45:00,2021-09-17 23:45:00,9.25,2.8,3.7432432432432434,14
2021-09-25 06:45:00,2021-09-25 07:45:00,1.25,2.9,3.7,6
2021-10-21 07:00:00,2021-10-21 08:15:00,1.5,2.0,3.5,7
2021-10-22 13:30:00,2021-10-22 14:30:00,1.25,4.6,4.82,13
2021-10-23 07:15:00,2021-10-23 09:00:00,2.0,3.3,3.675,7
2021-10-24 08:15:00,2021-10-24 15:15:00,7.25,3.1,4.631034482758621,8
2021-10-25 07:45:00,2021-10-25 13:15:00,5.75,3.9,4.413043478260869,7
2021-10-26 07:45:00,2021-10-26 09:15:00,1.75,3.6,3.9714285714285715,7
2021-12-06 07:15:00,2021-12-06 08:00:00,1.0,4.6,4.825,7
2021-12-17 04:15:00,2021-12-17 05:15:00,1.25,5.3,5.380000000000001,4
2021-12-18 02:45:00,2021-12-18 12:15:00,9.75,3.8,5.074358974358974,2
2021-12-19 04:45:00,2021-12-19 06:30:00,2.0,4.8,5.425000000000001,4
2021-12-30 01:30:00,2021-12-30 04:15:00,3.0,4.9,5.541666666666667,1
2021-12-31 02:00:00,2021-12-31 10:30:00,8.75,4.0,5.200000000000001,2
2022-01-01 01:30:00,2022-01-01 09:00:00,7.75,3.7,4.696774193548386,1
2022-01-02 03:15:00,2022-01-02 08:15:00,5.25,4.1,4.90952380952381,3
2022-02-02 10:30:00,2022-02-02 11:30:00,1.25,6.9,7.720000000000001,10
2022-02-03 09:30:00,2022-02-03 19:15:00,10.0,6.7,7.8375,9
2022-02-04 16:15:00,2022-02-04 17:15:00,1.25,8.1,8.34,16
2022-02-17 08:00:00,2022-02-17 10:00:00,2.25,5.2,5.866666666666667,8
2022-02-24 04:00:00,2022-02-24 04:45:00,1.0,5.7,5.7,4
2022-03-06 21:30:00,2022-03-06 23:00:00,1.75,6.0,6.242857142857143,21
2022-03-08 20:45:00,2022-03-08 22:00:00,1.5,5.7,6.333333333333333,20
2022-03-11 03:15:00,2022-03-11 04:45:00,1.75,3.7,5.442857142857143,3
2022-03-31 04:15:00,2022-03-31 07:15:00,3.25,3.9,4.853846153846154,4
2022-04-12 06:15:00,2022-04-12 07:45:00,1.75,4.3,5.242857142857143,6
2022-06-19 08:00:00,2022-06-19 11:15:00,3.5,1.5,3.25,8
2022-08-01 15:15:00,2022-08-01 16:45:00,1.75,4.4,4.628571428571429,15
2022-08-01 22:00:00,2022-08-01 22:45:00,1.0,2.6,3.35,22
2022-08-08 13:45:00,2022-08-08 19:45:00,6.25,3.4,3.9040000000000004,13
2022-08-26 16:15:00,2022-08-26 20:45:00,4.75,3.5,4.136842105263159,16
2022-08-31 13:00:00,2022-08-31 15:15:00,2.5,4.0,4.49,13
2022-09-25 07:00:00,2022-09-25 07:45:00,1.0,3.0,3.15,7
2022-09-26 05:30:00,2022-09-26 07:15:00,2.0,2.3,3.3625,5
2022-09-26 23:30:00,2022-09-27 05:15:00,6.0,3.1,3.8625000000000003,23
2022-09-28 04:45:00,2022-09-28 07:00:00,2.5,3.0,3.3899999999999997,4
2022-10-08 10:30:00,2022-10-08 13:15:00,3.0,3.7,4.291666666666667,10
