mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2020-01-05 05:45:00,2020-01-05 07:30:00,2.0,4.1,4.3875,5
2020-02-27 06:15:00,2020-02-27 08:15:00,2.25,2.4,3.922222222222222,6
2020-04-11 05:45:00,2020-04-11 17:15:00,11.75,2.2,3.106382978723404,5
2020-08-05 07:45:00,2020-08-05 12:15:00,4.75,2.6,3.6999999999999997,7
2020-08-14 06:30:00,2020-08-14 07:45:00,1.5,4.5,4.733333333333333,6
2020-08-16 02:30:00,2020-08-16 10:00:00,7.75,1.7,2.72258064516129,2
2020-08-18 07:00:00,2020-08-18 09:45:00,3.0,3.7,4.083333333333333,7
2020-08-19 08:45:00,2020-08-19 12:15:00,3.75,2.2,3.3333333333333335,8
2020-08-19 20:30:00,2020-08-20 03:30:00,7.25,3.6,3.972413793103448,20
2020-08-21 00:45:00,2020-08-21 02:15:00,1.75,4.2,4.457142857142857,0
2020-08-21 04:30:00,2020-08-21 07:15:00,3.0,4.1,4.300000000000001,4
2022-04-19 05:30:00,2022-04-19 09:00:00,3.75,3.0,3.72,5
2022-04-27 09:15:00,2022-04-27 11:15:00,2.25,4.0,4.377777777777778,9
2022-05-08 07:00:00,2022-05-08 07:45:00,1.0,3.9,4.25,7
2022-05-17 07:45:00,2022-05-17 10:00:00,2.5,2.9,3.5700000000000003,7
2022-06-10 06:30:00,2022-06-10 07:15:00,1.0,4.3,4.4,6
2022-06-19 03:00:00,2022-06-19 11:00:00,8.25,3.0,3.666666666666666,3
2022-06-20 08:00:00,2022-06-20 09:45:00,2.0,4.0,4.2375,8
2022-06-26 20:00:00,2022-06-26 21:15:00,1.5,4.3,4.533333333333334,20
2022-07-02 00:45:00,2022-07-02 06:30:00,6.0,3.7,4.4750000000000005,0
2022-07-04 22:45:00,2022-07-05 00:15:00,1.75,4.3,4.557142857142857,22
2022-07-05 01:45:00,2022-07-05 08:00:00,6.5,3.6,4.45,1
2022-07-17 04:15:00,2022-07-17 07:30:00,3.5,4.1,4.3500000000000005,4
2022-07-31 07:15:00,2022-07-31 08:00:00,1.0,4.5,4.6,7
2022-08-02 07:30:00,2022-08-02 08:30:00,1.25,4.6,4.659999999999999,7
2022-08-15 06:15:00,2022-08-15 07:00:00,1.0,4.2,4.275,6
2022-08-22 07:45:00,2022-08-22 10:00:00,2.5,4.4,4.539999999999999,7
2022-08-31 07:30:00,2022-08-31 08:15:00,1.0,4.6,4.625,7
2022-09-01 03:45:00,2022-09-01 08:00:00,4.5,3.5,4.044444444444444,3
2022-09-01 09:30:00,2022-09-01 13:00:00,3.75,3.5,4.073333333333334,9
2022-09-02 06:45:00,2022-09-02 09:45:00,3.25,3.7,4.2615384615384615,6
2022-09-03 08:15:00,2022-09-03 12:45:00,4.75,4.1,4.473684210526316,8
2022-09-04 03:15:00,2022-09-04 13:00:00,10.0,3.9,4.340000000000001,3
2022-09-06 03:45:00,2022-09-06 13:00:00,9.5,3.2,3.797368421052631,3
2022-09-09 22:00:00,2022-09-10 00:15:00,2.5,4.4,4.68,22
2022-09-23 07:00:00,2022-09-23 09:45:00,3.0,4.0,4.316666666666667,7
2023-03-14 07:45:00,2023-03-14 12:00:00,4.5,1.8,3.311111111111111,7
2023-03-15 05:45:00,2023-03-15 07:45:00,2.25,2.9,3.4555555555555557,5
2023-04-25 07:30:00,2023-04-25 10:15:00,3.0,2.9,3.491666666666667,7
2023-04-26 06:45:00,2023-04-26 08:00:00,1.5,4.2,4.45,6
2023-05-18 01:45:00,2023-05-18 09:30:00,8.0,3.8,4.19375,1
2023-05-19 04:45:00,2023-05-19 06:30:00,2.0,4.3,4.5,4
2023-05-23 07:00:00,2023-05-23 08:45:00,2.0,2.7,3.3,7
2023-06-10 01:15:00,2023-06-10 03:15:00,2.25,4.2,4.422222222222222,1
2023-06-21 08:00:00,2023-06-21 09:30:00,1.75,4.1,4.271428571428571,8
2023-06-28 04:00:00,2023-06-28 09:45:00,6.0,3.1,3.829166666666667,4
2023-07-01 05:45:00,2023-07-01 10:00:00,4.5,4.0,4.4111111111111105,5
2023-07-30 08:15:00,2023-07-30 09:30:00,1.5,3.9,4.8,8
2023-07-31 07:30:00,2023-07-31 09:30:00,2.25,3.9,4.211111111111111,7
2023-08-01 02:45:00,2023-08-01 05:45:00,3.25,4.2,4.407692307692308,2
2023-08-03 03:45:00,2023-08-03 06:45:00,3.25,4.5,4.638461538461539,3
2023-08-07 05:45:00,2023-08-07 06:30:00,1.0,4.6,4.65,5
2023-08-16 01:45:00,2023-08-16 06:45:00,5.25,4.0,4.295238095238095,1
2023-08-20 02:45:00,2023-08-20 09:00:00,6.5,4.0,4.2846153846153845,2
2023-08-21 04:00:00,2023-08-21 07:45:00,4.0,4.4,4.5562499999999995,4
