dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
23953,gndbcwq,2.0,30,63,9.5
23953,gndbcwq,2.0,60,53,8.0
23953,gndbcwq,2.0,120,32,4.8
23953,gndbcwq,2.0,240,13,2.0
23953,gndbcwq,2.5,30,161,24.2
23953,gndbcwq,2.5,60,134,20.2
23953,gndbcwq,2.5,120,87,13.1
23953,gndbcwq,2.5,240,34,5.1
23953,gndbcwq,3.0,30,329,49.5
23953,gndbcwq,3.0,60,273,41.1
23953,gndbcwq,3.0,120,192,28.9
23953,gndbcwq,3.0,240,91,13.7
23953,gndbcwq,3.5,30,605,91.0
23953,gndbcwq,3.5,60,536,80.6
23953,gndbcwq,3.5,120,403,60.6
23953,gndbcwq,3.5,240,237,35.6
23953,gndbcwq,4.0,30,954,143.5
23953,gndbcwq,4.0,60,843,126.8
23953,gndbcwq,4.0,120,656,98.7
23953,gndbcwq,4.0,240,442,66.5
