dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
23953,gndbhwq,2.0,30,641,96.1
23953,gndbhwq,2.0,60,565,84.7
23953,gndbhwq,2.0,120,477,71.5
23953,gndbhwq,2.0,240,384,57.6
23953,gndbhwq,2.5,30,797,119.5
23953,gndbhwq,2.5,60,718,107.7
23953,gndbhwq,2.5,120,621,93.1
23953,gndbhwq,2.5,240,493,73.9
23953,gndbhwq,3.0,30,817,122.5
23953,gndbhwq,3.0,60,740,111.0
23953,gndbhwq,3.0,120,649,97.3
23953,gndbhwq,3.0,240,547,82.0
23953,gndbhwq,3.5,30,832,124.7
23953,gndbhwq,3.5,60,748,112.2
23953,gndbhwq,3.5,120,655,98.2
23953,gndbhwq,3.5,240,547,82.0
23953,gndbhwq,4.0,30,793,118.9
23953,gndbhwq,4.0,60,717,107.5
23953,gndbhwq,4.0,120,630,94.5
23953,gndbhwq,4.0,240,537,80.5
