dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
23953,gndblwq,2.0,30,17,2.5
23953,gndblwq,2.0,60,11,1.6
23953,gndblwq,2.0,120,5,0.7
23953,gndblwq,2.0,240,1,0.1
23953,gndblwq,2.5,30,36,5.4
23953,gndblwq,2.5,60,23,3.4
23953,gndblwq,2.5,120,10,1.5
23953,gndblwq,2.5,240,3,0.4
23953,gndblwq,3.0,30,78,11.7
23953,gndblwq,3.0,60,56,8.4
23953,gndblwq,3.0,120,30,4.5
23953,gndblwq,3.0,240,9,1.3
23953,gndblwq,3.5,30,174,26.1
23953,gndblwq,3.5,60,123,18.4
23953,gndblwq,3.5,120,71,10.6
23953,gndblwq,3.5,240,24,3.6
23953,gndblwq,4.0,30,359,53.8
23953,gndblwq,4.0,60,258,38.7
23953,gndblwq,4.0,120,172,25.8
23953,gndblwq,4.0,240,69,10.3
