dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
23953,gndpcwq,2.0,30,1,0.2
23953,gndpcwq,2.0,60,1,0.2
23953,gndpcwq,2.0,120,0,0.0
23953,gndpcwq,2.0,240,0,0.0
23953,gndpcwq,2.5,30,6,0.9
23953,gndpcwq,2.5,60,4,0.6
23953,gndpcwq,2.5,120,2,0.3
23953,gndpcwq,2.5,240,1,0.2
23953,gndpcwq,3.0,30,12,1.8
23953,gndpcwq,3.0,60,7,1.1
23953,gndpcwq,3.0,120,4,0.6
23953,gndpcwq,3.0,240,3,0.5
23953,gndpcwq,3.5,30,24,3.6
23953,gndpcwq,3.5,60,22,3.3
23953,gndpcwq,3.5,120,13,2.0
23953,gndpcwq,3.5,240,4,0.6
23953,gndpcwq,4.0,30,40,6.0
23953,gndpcwq,4.0,60,37,5.6
23953,gndpcwq,4.0,120,27,4.1
23953,gndpcwq,4.0,240,10,1.5
