mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2021-02-23 13:30:00,2021-02-23 14:00:00,0.75,9.0,9.200000000000001,13
2021-02-23 22:30:00,2021-02-23 22:45:00,0.5,8.7,8.8,22
2021-02-26 21:15:00,2021-02-26 21:45:00,0.75,9.1,9.333333333333334,21
2021-02-27 22:00:00,2021-02-27 23:30:00,1.75,8.4,8.8,22
2021-02-28 10:45:00,2021-02-28 11:00:00,0.5,8.9,9.0,10
2021-02-28 22:45:00,2021-03-01 01:00:00,2.5,7.8,8.48,22
2021-03-01 12:00:00,2021-03-01 12:45:00,1.0,8.1,8.275,12
2021-03-01 23:30:00,2021-03-02 00:00:00,0.75,8.3,8.466666666666667,23
2021-03-07 12:30:00,2021-03-07 13:30:00,1.25,7.9,8.14,12
2021-03-12 22:00:00,2021-03-12 23:30:00,1.75,7.3,7.7,22
2021-03-13 11:30:00,2021-03-13 12:15:00,1.0,7.2,7.3999999999999995,11
2021-03-13 22:45:00,2021-03-14 02:00:00,3.5,6.6,7.335714285714286,22
2021-03-14 23:15:00,2021-03-15 00:45:00,1.75,7.0,7.471428571428572,23
2021-03-16 12:30:00,2021-03-16 13:15:00,1.0,7.3,7.4750000000000005,12
2021-03-17 00:30:00,2021-03-17 02:15:00,2.0,6.8,7.3125,0
2021-03-17 12:15:00,2021-03-17 12:45:00,0.75,7.5,7.666666666666667,12
2021-03-18 01:15:00,2021-03-18 03:00:00,2.0,6.7,7.225,1
2021-03-18 23:45:00,2021-03-19 00:00:00,0.5,7.3,7.4,23
2021-03-19 02:30:00,2021-03-19 03:00:00,0.75,6.6,6.766666666666666,2
2021-03-25 20:00:00,2021-03-25 21:00:00,1.25,6.6,7.06,20
2021-03-26 08:45:00,2021-03-26 10:00:00,1.5,6.2,6.7,8
2021-03-26 20:45:00,2021-03-26 22:15:00,1.75,6.1,6.728571428571429,20
2021-03-27 09:45:00,2021-03-27 11:00:00,1.5,5.9,6.349999999999999,9
2021-03-27 21:45:00,2021-03-27 23:15:00,1.75,5.8,6.457142857142856,21
2021-03-28 09:45:00,2021-03-28 11:15:00,1.75,6.1,6.671428571428571,9
2021-03-28 22:15:00,2021-03-29 00:00:00,2.0,5.8,6.475,22
2021-03-29 11:45:00,2021-03-29 12:15:00,0.75,6.3,6.466666666666666,11
2021-03-29 23:15:00,2021-03-30 00:30:00,1.5,6.4,6.883333333333334,23
2021-03-30 12:00:00,2021-03-30 12:45:00,1.0,6.3,6.55,12
2021-03-31 00:45:00,2021-03-31 01:45:00,1.25,6.1,6.4799999999999995,0
2021-04-01 00:45:00,2021-04-01 02:30:00,2.0,5.9,6.45,0
2021-04-02 03:00:00,2021-04-02 03:15:00,0.5,6.6,6.699999999999999,3
2021-04-07 08:00:00,2021-04-07 08:45:00,1.0,6.5,6.725,8
2021-04-08 08:45:00,2021-04-08 09:15:00,0.75,6.5,6.7,8
2021-04-08 21:15:00,2021-04-08 22:00:00,1.0,6.2,6.499999999999999,21
2021-04-09 09:45:00,2021-04-09 10:30:00,1.0,6.0,6.3,9
2021-04-09 21:30:00,2021-04-09 23:00:00,1.75,5.6,6.171428571428572,21
2021-04-10 09:30:00,2021-04-10 11:30:00,2.25,5.5,6.177777777777778,9
2021-04-10 13:00:00,2021-04-10 13:30:00,0.75,5.3,5.366666666666667,13
2021-04-10 22:45:00,2021-04-10 23:30:00,1.0,5.7,6.0249999999999995,22
2021-04-11 10:00:00,2021-04-11 11:15:00,1.5,5.8,6.349999999999999,10
2021-04-11 23:00:00,2021-04-12 00:15:00,1.5,5.6,6.1000000000000005,23
2021-04-12 10:15:00,2021-04-12 11:30:00,1.5,6.0,6.483333333333333,10
2021-04-12 23:00:00,2021-04-13 00:30:00,1.75,5.6,6.185714285714286,23
2021-04-13 11:00:00,2021-04-13 12:30:00,1.75,6.1,6.571428571428571,11
2021-04-14 00:00:00,2021-04-14 01:30:00,1.75,5.6,6.128571428571428,0
2021-04-14 11:15:00,2021-04-14 12:45:00,1.75,6.1,6.542857142857143,11
2021-04-15 00:15:00,2021-04-15 02:00:00,2.0,5.8,6.35,0
2021-04-16 00:45:00,2021-04-16 02:15:00,1.75,5.7,6.228571428571429,0
2021-04-16 11:00:00,2021-04-16 11:15:00,0.5,6.3,6.5,11
2021-04-16 12:45:00,2021-04-16 13:45:00,1.25,6.4,6.68,12
2021-04-17 02:45:00,2021-04-17 03:30:00,1.0,5.5,5.8,2
2021-04-17 13:00:00,2021-04-17 13:30:00,0.75,6.3,6.466666666666666,13
2021-04-18 02:30:00,2021-04-18 04:00:00,1.75,5.4,5.957142857142856,2
2021-04-19 03:00:00,2021-04-19 04:45:00,2.0,5.4,6.0,3
2021-04-20 05:15:00,2021-04-20 06:15:00,1.25,5.5,5.8,5
2021-04-21 05:30:00,2021-04-21 06:45:00,1.5,5.4,5.816666666666666,5
2021-04-23 07:45:00,2021-04-23 08:15:00,0.75,6.1,6.266666666666666,7
2021-04-23 19:45:00,2021-04-23 21:15:00,1.75,6.0,6.3999999999999995,19
2021-04-24 08:30:00,2021-04-24 09:30:00,1.25,5.6,5.9399999999999995,8
2021-04-24 20:45:00,2021-04-24 21:45:00,1.25,5.9,6.239999999999999,20
2021-04-25 09:15:00,2021-04-25 10:00:00,1.0,5.8,6.1000000000000005,9
2021-04-25 21:15:00,2021-04-25 23:00:00,2.0,5.6,6.1875,21
2021-04-26 10:15:00,2021-04-26 10:30:00,0.5,6.0,6.1,10
2021-04-26 22:00:00,2021-04-27 00:00:00,2.25,5.6,6.255555555555556,22
2021-04-27 11:00:00,2021-04-27 11:15:00,0.5,5.9,6.0,11
2021-04-27 21:15:00,2021-04-28 00:30:00,3.5,5.6,6.628571428571428,21
2021-04-28 22:15:00,2021-04-29 02:00:00,4.0,5.1,6.2749999999999995,22
2021-04-29 23:00:00,2021-04-30 02:15:00,3.5,5.3,6.235714285714287,23
2021-04-30 11:15:00,2021-04-30 13:15:00,2.25,5.7,6.133333333333334,11
2021-05-01 01:15:00,2021-05-01 03:00:00,2.0,5.2,5.85,1
2021-05-02 02:30:00,2021-05-02 04:15:00,2.0,5.3,5.925000000000001,2
2021-05-02 06:15:00,2021-05-02 06:30:00,0.5,4.4,4.5,6
2021-05-03 04:15:00,2021-05-03 05:15:00,1.25,5.1,5.4799999999999995,4
2021-05-03 15:30:00,2021-05-03 16:15:00,1.0,5.9,6.074999999999999,15
2021-05-04 05:30:00,2021-05-04 06:30:00,1.25,4.9,5.239999999999999,5
2021-05-04 09:00:00,2021-05-04 10:30:00,1.75,4.5,4.700000000000001,9
2021-05-04 16:30:00,2021-05-04 17:15:00,1.0,5.9,6.074999999999999,16
2021-05-05 06:00:00,2021-05-05 07:00:00,1.25,4.9,5.26,6
2021-05-05 18:30:00,2021-05-05 19:45:00,1.5,5.2,5.516666666666667,18
2021-05-06 07:45:00,2021-05-06 08:15:00,0.75,5.0,5.166666666666667,7
2021-05-06 18:45:00,2021-05-06 20:30:00,2.0,5.4,5.925,18
2021-05-07 07:00:00,2021-05-07 09:45:00,3.0,4.7,5.3999999999999995,7
2021-05-07 20:30:00,2021-05-07 21:30:00,1.25,5.4,5.68,20
2021-05-08 08:15:00,2021-05-08 09:15:00,1.25,5.3,5.64,8
2021-05-08 20:30:00,2021-05-08 22:15:00,2.0,5.3,5.7875,20
2021-05-09 21:30:00,2021-05-09 23:15:00,2.0,5.2,5.75,21
2021-05-10 08:45:00,2021-05-10 10:00:00,1.5,5.6,5.933333333333334,8
2021-05-10 22:15:00,2021-05-11 00:00:00,2.0,4.8,5.387499999999999,22
2021-05-11 10:15:00,2021-05-11 10:45:00,0.75,5.1,5.366666666666667,10
2021-05-11 22:30:00,2021-05-12 02:30:00,4.25,4.2,5.005882352941177,22
2021-05-12 10:00:00,2021-05-12 13:00:00,3.25,4.5,5.023076923076924,10
2021-05-12 23:30:00,2021-05-13 01:15:00,2.0,4.8,5.475,23
2021-05-13 09:30:00,2021-05-13 11:45:00,2.5,5.4,5.9399999999999995,9
2021-05-13 14:45:00,2021-05-13 15:00:00,0.5,4.9,5.050000000000001,14
2021-05-14 00:45:00,2021-05-14 01:45:00,1.25,5.0,5.38,0
2021-05-14 15:15:00,2021-05-14 15:45:00,0.75,5.3,5.433333333333334,15
2021-05-15 00:30:00,2021-05-15 02:30:00,2.25,5.1,5.833333333333334,0
2021-05-16 01:00:00,2021-05-16 02:45:00,2.0,5.4,6.0625,1
2021-05-17 01:45:00,2021-05-17 03:30:00,2.0,5.4,6.012499999999999,1
2021-05-18 03:15:00,2021-05-18 04:30:00,1.5,5.2,5.666666666666667,3
2021-05-19 03:30:00,2021-05-19 05:15:00,2.0,5.2,5.800000000000001,3
2021-05-20 05:15:00,2021-05-20 06:00:00,1.0,5.1,5.324999999999999,5
2021-05-21 05:45:00,2021-05-21 07:00:00,1.5,5.1,5.516666666666666,5
2021-05-22 07:00:00,2021-05-22 08:00:00,1.25,5.0,5.34,7
2021-05-22 19:15:00,2021-05-22 20:15:00,1.25,5.4,5.779999999999999,19
2021-05-23 07:15:00,2021-05-23 08:45:00,1.75,4.5,5.071428571428571,7
2021-05-23 20:30:00,2021-05-23 21:30:00,1.25,4.9,5.38,20
2021-05-24 08:15:00,2021-05-24 09:15:00,1.25,4.6,5.06,8
2021-05-24 20:15:00,2021-05-24 23:00:00,3.0,4.4,5.525000000000001,20
2021-05-25 09:15:00,2021-05-25 10:30:00,1.5,4.3,4.766666666666667,9
2021-05-25 21:45:00,2021-05-25 23:30:00,2.0,4.6,5.425,21
2021-05-26 08:15:00,2021-05-26 11:00:00,3.0,4.7,5.533333333333334,8
2021-05-26 21:45:00,2021-05-27 00:30:00,3.0,4.6,5.658333333333332,21
2021-05-27 09:00:00,2021-05-27 09:45:00,1.0,5.3,5.624999999999999,9
2021-05-27 11:15:00,2021-05-27 11:30:00,0.5,4.8,4.9,11
2021-05-27 14:30:00,2021-05-27 15:30:00,1.25,4.4,4.56,14
2021-05-27 21:45:00,2021-05-28 01:15:00,3.75,4.5,5.753333333333334,21
2021-05-28 03:15:00,2021-05-28 03:45:00,0.75,3.4,3.566666666666667,3
2021-05-28 12:15:00,2021-05-28 12:30:00,0.5,4.8,4.9,12
2021-05-29 01:15:00,2021-05-29 02:00:00,1.0,4.9,5.2,1
2021-05-29 04:45:00,2021-05-29 06:00:00,1.5,3.7,4.05,4
2021-05-29 13:00:00,2021-05-29 13:45:00,1.0,4.8,5.025,13
2021-05-29 23:30:00,2021-05-30 00:15:00,1.0,5.6,5.975,23
2021-05-30 02:00:00,2021-05-30 02:45:00,1.0,4.7,5.0,2
2021-05-30 05:00:00,2021-05-30 05:15:00,0.5,3.4,3.5999999999999996,5
2021-05-30 12:00:00,2021-05-30 13:45:00,2.0,5.2,5.6,12
2021-05-31 02:15:00,2021-05-31 04:00:00,2.0,4.7,5.3375,2
2021-05-31 12:45:00,2021-05-31 14:30:00,2.0,5.6,6.0875,12
2021-05-31 18:00:00,2021-05-31 18:15:00,0.5,4.3,4.65,18
2021-06-01 01:15:00,2021-06-01 05:00:00,4.0,4.8,5.86875,1
2021-06-01 07:00:00,2021-06-01 07:30:00,0.75,3.8,4.033333333333334,7
2021-06-01 15:30:00,2021-06-01 16:00:00,0.75,5.6,5.766666666666666,15
2021-06-01 19:00:00,2021-06-01 19:15:00,0.5,4.6,4.699999999999999,19
2021-06-02 04:00:00,2021-06-02 05:45:00,2.0,4.6,5.275,4
2021-06-02 16:00:00,2021-06-02 16:45:00,1.0,5.6,5.85,16
2021-06-03 04:30:00,2021-06-03 06:15:00,2.0,4.6,5.25,4
2021-06-03 17:00:00,2021-06-03 18:45:00,2.0,5.0,5.5125,17
2021-06-04 06:15:00,2021-06-04 07:15:00,1.25,4.6,4.9399999999999995,6
2021-06-04 16:15:00,2021-06-04 16:30:00,0.5,5.8,6.05,16
2021-06-04 18:30:00,2021-06-04 20:00:00,1.75,5.1,5.614285714285714,18
2021-06-04 22:00:00,2021-06-04 22:30:00,0.75,3.7,3.9666666666666663,22
2021-06-05 07:00:00,2021-06-05 08:30:00,1.75,4.5,4.8999999999999995,7
2021-06-05 10:15:00,2021-06-05 10:30:00,0.5,3.4,3.65,10
2021-06-05 17:00:00,2021-06-05 17:15:00,0.5,5.4,5.800000000000001,17
2021-06-05 18:45:00,2021-06-05 20:45:00,2.25,5.0,5.722222222222222,18
