mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2021-05-26 13:30:00,2021-05-26 14:30:00,1.25,2.0,2.2600000000000002,13
2021-06-05 10:15:00,2021-06-05 11:00:00,1.0,2.1,2.25,10
2021-06-06 11:00:00,2021-06-06 11:45:00,1.0,0.9,1.225,11
2021-06-07 11:30:00,2021-06-07 12:30:00,1.25,1.4,1.8399999999999999,11
2021-07-31 06:30:00,2021-07-31 08:00:00,1.75,1.8,2.0714285714285716,6
2021-07-31 19:00:00,2021-07-31 20:30:00,1.75,1.7,2.2285714285714286,19
2021-08-01 06:00:00,2021-08-01 10:30:00,4.75,1.5,2.078947368421052,6
2021-08-02 07:30:00,2021-08-02 10:45:00,3.5,1.7,2.092857142857143,7
2021-08-03 07:30:00,2021-08-03 12:00:00,4.75,1.8,2.121052631578948,7
2021-08-31 07:30:00,2021-08-31 09:15:00,2.0,1.9,2.2125,7
2021-09-01 08:45:00,2021-09-01 10:15:00,1.75,1.4,2.1142857142857143,8
2021-09-01 21:15:00,2021-09-01 22:30:00,1.5,2.0,2.316666666666667,21
2021-09-02 04:15:00,2021-09-02 05:15:00,1.25,1.9,2.2199999999999998,4
2021-09-02 09:15:00,2021-09-02 10:00:00,1.0,1.5,1.95,9
2022-07-08 08:15:00,2022-07-08 09:00:00,1.0,1.7,1.975,8
2022-07-09 09:15:00,2022-07-09 10:00:00,1.0,1.4,1.5750000000000002,9
2022-07-24 08:00:00,2022-07-24 13:30:00,5.75,1.4,2.0565217391304347,8
2022-07-25 10:15:00,2022-07-25 14:00:00,4.0,1.5,2.1125,10
2022-07-26 11:30:00,2022-07-26 13:00:00,1.75,1.5,1.9142857142857144,11
2022-07-27 12:00:00,2022-07-27 12:45:00,1.0,1.9,2.025,12
2022-07-28 12:30:00,2022-07-28 13:45:00,1.5,1.6,2.0500000000000003,12
2022-07-29 13:45:00,2022-07-29 14:30:00,1.0,1.9,2.4,13
2022-08-21 08:00:00,2022-08-21 10:45:00,3.0,1.8,2.1916666666666664,8
2022-08-22 09:45:00,2022-08-22 11:30:00,2.0,1.6,2.1875,9
2022-08-23 09:45:00,2022-08-23 12:30:00,3.0,1.6,2.1083333333333334,9
2022-08-24 11:15:00,2022-08-24 13:00:00,2.0,2.1,2.3,11
2022-09-08 05:30:00,2022-09-08 06:15:00,1.0,2.2,2.275,5
2023-06-28 08:30:00,2023-06-28 10:30:00,2.25,2.0,2.2666666666666666,8
2023-06-29 09:15:00,2023-06-29 11:30:00,2.5,2.1,2.32,9
2023-07-01 11:45:00,2023-07-01 12:30:00,1.0,1.9,2.4,11
2023-07-10 07:45:00,2023-07-10 08:45:00,1.25,2.2,2.34,7
2023-07-12 08:45:00,2023-07-12 11:15:00,2.75,1.7,2.2545454545454544,8
2023-07-13 08:15:00,2023-07-13 12:45:00,4.75,1.8,2.1578947368421053,8
2023-07-14 09:15:00,2023-07-14 14:15:00,5.25,2.0,2.1761904761904765,9
2023-07-15 10:30:00,2023-07-15 13:30:00,3.25,1.7,2.2,10
2023-07-16 12:30:00,2023-07-16 13:30:00,1.25,2.1,2.28,12
2023-07-17 01:45:00,2023-07-17 03:15:00,1.75,1.5,2.3142857142857145,1
2023-07-17 13:30:00,2023-07-17 14:30:00,1.25,1.9,2.08,13
2023-07-18 14:00:00,2023-07-18 14:45:00,1.0,2.2,2.375,14
2023-07-19 03:00:00,2023-07-19 04:00:00,1.25,2.2,2.4800000000000004,3
2023-07-24 06:15:00,2023-07-24 07:15:00,1.25,2.3,2.54,6
2023-07-25 06:45:00,2023-07-25 08:00:00,1.5,1.6,2.1333333333333333,6
2023-07-26 06:30:00,2023-07-26 10:00:00,3.75,1.9,2.206666666666666,6
2023-07-27 07:00:00,2023-07-27 10:45:00,4.0,1.2,2.15,7
2023-07-28 08:15:00,2023-07-28 11:30:00,3.5,1.9,2.1642857142857146,8
2023-07-29 08:45:00,2023-07-29 11:30:00,3.0,1.7,2.266666666666666,8
2023-08-10 08:15:00,2023-08-10 09:45:00,1.75,2.1,2.1999999999999997,8
2023-08-11 08:45:00,2023-08-11 11:45:00,3.25,1.7,2.2,8
2023-08-12 09:15:00,2023-08-12 12:30:00,3.5,1.8,2.2928571428571423,9
2023-08-13 09:45:00,2023-08-13 13:45:00,4.25,1.6,2.1882352941176473,9
2023-08-14 11:45:00,2023-08-14 13:00:00,1.5,2.2,2.3833333333333333,11
2023-08-26 08:30:00,2023-08-26 09:45:00,1.5,1.8,2.233333333333334,8
2023-08-27 09:30:00,2023-08-27 10:45:00,1.5,2.0,2.3499999999999996,9
2023-08-30 08:45:00,2023-08-30 10:00:00,1.5,2.0,2.1833333333333336,8
2023-08-31 03:45:00,2023-08-31 05:45:00,2.25,1.7,2.344444444444444,3
2024-06-30 07:30:00,2024-06-30 08:30:00,1.25,2.2,2.34,7
2024-07-10 04:45:00,2024-07-10 06:45:00,2.25,2.1,2.533333333333333,4
2024-07-11 06:00:00,2024-07-11 07:00:00,1.25,1.8,2.4200000000000004,6
2024-07-12 19:00:00,2024-07-12 20:00:00,1.25,1.5,2.56,19
2024-07-13 05:30:00,2024-07-13 08:45:00,3.5,1.3,1.9642857142857142,5
2024-07-14 05:30:00,2024-07-14 10:15:00,5.0,0.8,1.8350000000000002,5
2024-07-14 20:15:00,2024-07-14 21:00:00,1.0,1.7,2.275,20
2024-07-15 06:45:00,2024-07-15 10:00:00,3.5,1.7,1.992857142857143,6
2024-07-15 21:30:00,2024-07-15 22:45:00,1.5,1.9,2.333333333333333,21
2024-07-16 06:15:00,2024-07-16 10:45:00,4.75,1.2,2.031578947368421,6
2024-07-17 09:45:00,2024-07-17 11:15:00,1.75,2.0,2.1999999999999997,9
2024-07-18 11:00:00,2024-07-18 12:30:00,1.75,1.7,2.1,11
2024-07-21 01:45:00,2024-07-21 02:45:00,1.25,2.3,2.4200000000000004,1
2024-07-25 05:15:00,2024-07-25 06:00:00,1.0,1.8,2.2,5
2024-07-26 04:45:00,2024-07-26 06:45:00,2.25,1.9,2.288888888888889,4
2024-08-02 12:00:00,2024-08-02 12:45:00,1.0,2.2,2.425,12
2024-08-03 00:30:00,2024-08-03 01:30:00,1.25,1.7,2.1799999999999997,0
2024-08-10 04:45:00,2024-08-10 06:15:00,1.75,1.8,2.1714285714285713,4
2024-08-11 04:30:00,2024-08-11 09:30:00,5.25,1.8,2.114285714285715,4
2024-08-12 04:00:00,2024-08-12 11:15:00,7.5,1.2,1.9066666666666667,4
2024-08-12 18:30:00,2024-08-12 20:30:00,2.25,1.1,2.1333333333333337,18
2024-08-13 03:45:00,2024-08-13 12:00:00,8.5,0.9,1.7529411764705882,3
2024-08-14 06:30:00,2024-08-14 11:30:00,5.25,1.8,2.2142857142857144,6
2024-08-20 08:30:00,2024-08-20 11:15:00,3.0,1.9,2.0833333333333335,8
2024-08-29 08:00:00,2024-08-29 14:45:00,7.0,2.0,2.2749999999999995,8
2024-08-30 08:30:00,2024-08-30 16:00:00,7.75,1.3,2.2161290322580647,8
2024-08-31 10:15:00,2024-08-31 12:15:00,2.25,1.7,2.2444444444444445,10
2024-09-28 10:45:00,2024-09-28 11:30:00,1.0,2.1,2.3,10
2025-06-08 11:15:00,2025-06-08 12:15:00,1.25,1.4,1.9,11
2025-06-09 00:30:00,2025-06-09 01:30:00,1.25,1.7,2.28,0
2025-06-09 11:15:00,2025-06-09 12:45:00,1.75,1.1,1.9285714285714286,11
2025-06-11 01:30:00,2025-06-11 02:15:00,1.0,2.2,2.55,1
2025-06-19 08:00:00,2025-06-19 08:45:00,1.0,1.1,1.675,8
2025-06-20 08:30:00,2025-06-20 09:30:00,1.25,1.1,1.5399999999999998,8
