mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2021-04-29 05:15:00,2021-04-29 06:30:00,1.5,5.4,5.7,5
2021-06-07 15:15:00,2021-06-07 18:15:00,3.25,4.7,4.938461538461539,15
2021-06-08 16:15:00,2021-06-08 18:00:00,2.0,4.8,4.987500000000001,16
2021-06-10 18:15:00,2021-06-10 19:15:00,1.25,4.8,4.9,18
2021-06-19 13:30:00,2021-06-19 14:30:00,1.25,4.7,5.0,13
2021-06-20 11:45:00,2021-06-20 14:15:00,2.75,4.4,4.663636363636364,11
2021-06-21 14:00:00,2021-06-21 15:45:00,2.0,4.0,4.574999999999999,14
2021-06-22 01:45:00,2021-06-22 02:30:00,1.0,4.1,4.475,1
2021-06-22 14:15:00,2021-06-22 15:30:00,1.5,4.5,4.750000000000001,14
2021-06-23 15:00:00,2021-06-23 16:15:00,1.5,4.3,4.616666666666666,15
2021-07-02 12:15:00,2021-07-02 13:15:00,1.25,4.8,5.0200000000000005,12
2021-07-03 13:15:00,2021-07-03 15:00:00,2.0,4.3,4.675,13
2021-07-04 13:45:00,2021-07-04 15:45:00,2.25,4.5,4.777777777777778,13
2021-07-05 15:45:00,2021-07-05 17:15:00,1.75,4.6,5.028571428571429,15
2021-07-06 14:30:00,2021-07-06 15:45:00,1.5,4.4,4.783333333333334,14
2021-07-07 15:30:00,2021-07-07 18:30:00,3.25,4.5,4.830769230769231,15
2021-07-09 17:00:00,2021-07-09 18:30:00,1.75,4.4,4.714285714285715,17
2021-07-10 18:00:00,2021-07-10 18:45:00,1.0,4.5,4.7,18
2021-07-18 13:45:00,2021-07-18 15:15:00,1.75,4.2,4.442857142857143,13
2021-07-19 12:45:00,2021-07-19 15:15:00,2.75,3.8,4.263636363636364,12
2021-07-20 12:00:00,2021-07-20 13:30:00,1.75,3.8,4.2285714285714295,12
2021-07-22 13:45:00,2021-07-22 15:30:00,2.0,4.2,4.425000000000001,13
2021-07-23 15:00:00,2021-07-23 16:00:00,1.25,4.2,4.340000000000001,15
2021-07-31 12:15:00,2021-07-31 13:00:00,1.0,4.0,4.1,12
2021-07-31 22:00:00,2021-08-01 00:15:00,2.5,3.6,3.9199999999999995,22
2021-08-01 12:30:00,2021-08-01 13:30:00,1.25,3.8,3.9799999999999995,12
2021-08-08 15:00:00,2021-08-08 16:00:00,1.25,3.8,4.04,15
2021-08-09 04:15:00,2021-08-09 05:00:00,1.0,3.4,3.5999999999999996,4
2021-08-11 05:15:00,2021-08-11 06:30:00,1.5,3.2,3.4499999999999997,5
2021-08-15 21:30:00,2021-08-15 22:15:00,1.0,3.5,3.825,21
2021-08-22 15:00:00,2021-08-22 17:30:00,2.75,3.8,3.936363636363636,15
2021-08-23 16:15:00,2021-08-23 18:45:00,2.75,3.8,4.0181818181818185,16
2021-08-24 04:15:00,2021-08-24 06:00:00,2.0,3.1,3.3875,4
2021-08-24 17:15:00,2021-08-24 19:15:00,2.25,3.9,4.1,17
2021-08-25 05:00:00,2021-08-25 06:00:00,1.25,3.3,3.44,5
2021-08-25 18:30:00,2021-08-25 19:45:00,1.5,3.9,4.233333333333333,18
2021-08-31 12:30:00,2021-08-31 13:15:00,1.0,4.0,4.05,12
2021-09-01 13:30:00,2021-09-01 16:45:00,3.5,3.9,4.25,13
2021-09-02 14:15:00,2021-09-02 15:15:00,1.25,4.0,4.119999999999999,14
2021-09-09 04:30:00,2021-09-09 05:30:00,1.25,3.6,3.8,4
2021-09-18 13:30:00,2021-09-18 15:00:00,1.75,4.2,4.314285714285714,13
2021-09-21 16:00:00,2021-09-21 16:45:00,1.0,4.0,4.15,16
2021-10-06 15:15:00,2021-10-06 16:15:00,1.25,4.2,4.32,15
