mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2024-08-14 18:00:00,2024-08-17 23:45:00,78.0,1.8,2.4743589743589745,18
2024-08-18 01:30:00,2024-08-21 16:45:00,87.5,1.8,2.5465714285714287,1
2024-08-21 22:00:00,2024-08-22 05:45:00,8.0,2.6,2.828125,22
2024-08-22 09:30:00,2024-08-22 14:30:00,5.25,2.6,2.761904761904762,9
2024-08-22 23:15:00,2024-08-23 01:45:00,2.75,2.9,2.8999999999999995,23
2024-08-23 05:15:00,2024-08-23 06:15:00,1.25,2.9,2.9,5
2024-08-23 10:30:00,2024-08-23 12:00:00,1.75,2.8,2.871428571428571,10
2024-08-26 14:30:00,2024-08-26 19:15:00,5.0,2.6,2.8249999999999997,14
2024-08-27 00:00:00,2024-08-27 07:15:00,7.5,2.6,2.8366666666666673,0
2024-08-27 13:00:00,2024-08-28 08:45:00,20.0,2.3,2.65625,13
2024-08-28 13:00:00,2024-08-29 10:45:00,22.0,2.1,2.421590909090909,13
2024-08-29 13:45:00,2024-08-30 12:00:00,22.5,1.9,2.278888888888889,13
2024-08-30 14:45:00,2024-08-31 13:15:00,22.75,1.9,2.2241758241758243,14
2024-08-31 15:15:00,2024-09-01 14:15:00,23.25,1.9,2.243010752688172,15
2024-09-01 16:30:00,2024-09-02 12:15:00,20.0,2.1,2.42625,16
2024-09-02 18:00:00,2024-09-03 02:45:00,9.0,2.7,2.7666666666666675,18
2024-09-03 06:15:00,2024-09-03 07:45:00,1.75,2.8,2.8285714285714287,6
