mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2022-08-11 05:30:00,2022-08-11 08:30:00,3.25,2.6,3.0000000000000004,5
2022-08-12 06:00:00,2022-08-12 08:00:00,2.25,2.8,2.9000000000000004,6
2022-08-13 06:15:00,2022-08-13 07:45:00,1.75,2.9,3.0285714285714285,6
2022-08-14 07:15:00,2022-08-14 09:45:00,2.75,2.9,2.927272727272727,7
2022-08-15 08:00:00,2022-08-15 12:45:00,5.0,2.7,2.95,8
2022-09-11 08:00:00,2022-09-11 10:45:00,3.0,2.7,2.9749999999999996,8
2022-09-12 08:45:00,2022-09-12 11:15:00,2.75,2.8,2.9545454545454546,8
2023-07-05 09:30:00,2023-07-05 11:30:00,2.25,2.9,3.011111111111111,9
2023-07-07 12:45:00,2023-07-07 13:30:00,1.0,3.0,3.05,12
2023-09-03 09:45:00,2023-09-03 10:30:00,1.0,2.9,2.975,9
2024-08-13 13:15:00,2024-08-13 15:15:00,2.25,2.1,2.6555555555555554,13
2024-08-14 23:45:00,2024-08-15 09:15:00,9.75,2.8,3.0025641025641026,23
2024-08-15 11:00:00,2024-08-15 17:45:00,7.0,2.7,2.896428571428572,11
2024-08-15 20:00:00,2024-08-21 15:15:00,139.5,1.8,2.4915770609319,20
2024-08-21 17:30:00,2024-08-22 13:00:00,19.75,2.7,2.8987341772151898,17
2024-08-27 09:00:00,2024-08-27 11:00:00,2.25,2.9,2.933333333333333,9
2024-08-27 21:45:00,2024-08-27 23:45:00,2.25,2.9,2.9555555555555557,21
2024-08-28 07:45:00,2024-08-28 13:15:00,5.75,2.3,2.682608695652174,7
2024-08-28 21:30:00,2024-08-29 02:30:00,5.25,2.7,2.838095238095238,21
2024-08-29 07:45:00,2024-08-29 14:45:00,7.25,2.4,2.7275862068965515,7
2024-08-29 22:00:00,2024-08-30 03:45:00,6.0,2.6,2.8166666666666664,22
2024-08-30 08:15:00,2024-08-30 15:45:00,7.75,2.3,2.712903225806452,8
2024-08-30 22:45:00,2024-08-31 07:45:00,9.25,2.6,2.8594594594594596,22
2024-08-31 09:30:00,2024-08-31 16:30:00,7.25,2.4,2.7448275862068963,9
2024-08-31 23:45:00,2024-09-01 16:15:00,16.75,2.6,2.905970149253731,23
2024-09-02 01:15:00,2024-09-02 09:30:00,8.5,2.8,2.947058823529412,1
2024-09-02 12:30:00,2024-09-02 18:15:00,6.0,2.7,2.9250000000000003,12
2024-09-03 00:30:00,2024-09-03 04:45:00,4.5,2.8,2.9222222222222225,0
2025-06-24 06:30:00,2025-06-24 08:15:00,2.0,2.8,2.875,6
2025-06-25 06:15:00,2025-06-25 10:15:00,4.25,2.5,2.6999999999999997,6
2025-06-25 18:45:00,2025-06-25 20:00:00,1.5,3.0,3.0666666666666664,18
2025-06-26 07:00:00,2025-06-26 11:15:00,4.5,2.5,2.716666666666667,7
2025-06-27 07:45:00,2025-06-27 11:45:00,4.25,2.6,2.6999999999999997,7
2025-06-28 09:30:00,2025-06-28 12:15:00,3.0,2.9,2.9583333333333335,9
2025-07-24 07:30:00,2025-07-24 09:15:00,2.0,2.9,3.0375,7
2025-07-25 08:00:00,2025-07-25 10:15:00,2.5,2.7,2.9699999999999998,8
2025-07-26 10:15:00,2025-07-26 11:15:00,1.25,3.0,3.0799999999999996,10
2025-07-27 09:00:00,2025-07-27 09:45:00,1.0,3.0,3.05,9
2026-07-16 09:45:00,2026-07-16 11:45:00,2.25,1.8,2.755555555555555,9
2026-07-16 23:30:00,2026-07-17 00:15:00,1.0,1.2,2.5250000000000004,23
2026-07-25 05:45:00,2026-07-25 06:30:00,1.0,1.2,1.8000000000000003,5
2026-07-27 07:30:00,2026-07-27 08:30:00,1.25,1.3,1.86,7
2026-08-09 05:30:00,2026-08-09 06:15:00,1.0,0.8,1.55,5
2026-08-10 06:15:00,2026-08-10 07:15:00,1.25,1.4,2.04,6
2026-08-11 07:45:00,2026-08-11 08:30:00,1.0,1.4,2.45,7
2026-08-14 04:00:00,2026-08-14 06:00:00,2.25,2.0,2.7666666666666666,4
2026-08-15 04:15:00,2026-08-15 07:00:00,3.0,2.6,2.8249999999999997,4
2026-08-16 05:15:00,2026-08-16 07:45:00,2.75,1.2,2.7636363636363637,5
2026-08-17 05:00:00,2026-08-17 08:15:00,3.5,2.0,2.8071428571428574,5
2026-08-22 03:45:00,2026-08-22 04:45:00,1.25,2.8,3.7,3
