mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2021-06-22 12:15:00,2021-06-22 13:00:00,1.0,1.6,2.375,12
2021-06-26 15:30:00,2021-06-26 16:30:00,1.25,2.3,2.54,15
2021-07-20 10:15:00,2021-07-20 11:15:00,1.25,2.4,2.58,10
2021-07-21 10:15:00,2021-07-21 12:30:00,2.5,2.6,2.79,10
2021-07-22 00:30:00,2021-07-22 02:00:00,1.75,2.6,2.771428571428571,0
2021-07-22 11:00:00,2021-07-22 13:45:00,3.0,2.6,2.7833333333333337,11
2021-07-23 01:00:00,2021-07-23 04:15:00,3.5,2.3,2.642857142857143,1
2021-07-23 12:15:00,2021-07-23 15:45:00,3.75,1.9,2.5533333333333332,12
2021-07-24 02:15:00,2021-07-24 05:15:00,3.25,2.5,2.6999999999999997,2
2021-07-24 14:30:00,2021-07-24 16:00:00,1.75,2.7,2.8285714285714283,14
2021-07-25 03:30:00,2021-07-25 05:15:00,2.0,2.7,2.8125,3
2021-07-26 04:30:00,2021-07-26 05:30:00,1.25,2.7,2.8,4
2021-07-27 05:00:00,2021-07-27 06:15:00,1.5,2.7,2.8333333333333326,5
2021-07-27 17:00:00,2021-07-27 18:00:00,1.25,2.1,2.68,17
2021-07-28 05:45:00,2021-07-28 06:30:00,1.0,2.7,2.8249999999999997,5
2021-07-29 05:45:00,2021-07-29 07:00:00,1.5,2.7,2.8000000000000003,5
2021-07-30 06:00:00,2021-07-30 07:45:00,2.0,2.3,2.675,6
2021-07-31 07:00:00,2021-07-31 08:00:00,1.25,2.7,2.82,7
2021-08-03 08:15:00,2021-08-03 10:15:00,2.25,2.7,2.8666666666666663,8
2021-08-04 09:30:00,2021-08-04 11:15:00,2.0,2.4,2.7624999999999997,9
2021-08-04 23:00:00,2021-08-05 00:00:00,1.25,2.7,2.8,23
2021-08-05 10:15:00,2021-08-05 12:15:00,2.25,2.6,2.7777777777777777,10
2021-08-06 00:15:00,2021-08-06 01:00:00,1.0,2.8,2.875,0
2021-08-06 11:15:00,2021-08-06 13:15:00,2.25,2.6,2.8333333333333335,11
2021-08-07 01:00:00,2021-08-07 02:00:00,1.25,2.7,2.82,1
2021-08-07 11:45:00,2021-08-07 14:45:00,3.25,2.2,2.6538461538461537,11
2021-08-08 01:30:00,2021-08-08 03:30:00,2.25,2.6,2.8,1
2021-08-08 12:30:00,2021-08-08 15:00:00,2.75,2.4,2.6636363636363636,12
2021-08-09 02:15:00,2021-08-09 04:30:00,2.5,2.6,2.76,2
2021-08-09 13:30:00,2021-08-09 16:30:00,3.25,2.2,2.6384615384615384,13
2021-08-10 02:45:00,2021-08-10 05:45:00,3.25,2.5,2.715384615384615,2
2021-08-10 14:30:00,2021-08-10 17:00:00,2.75,2.3,2.745454545454545,14
2021-08-11 03:45:00,2021-08-11 06:15:00,2.75,2.5,2.7545454545454544,3
2021-08-12 04:30:00,2021-08-12 06:45:00,2.5,2.5,2.78,4
2021-08-13 05:15:00,2021-08-13 07:00:00,2.0,2.5,2.7749999999999995,5
2021-08-14 05:45:00,2021-08-14 07:45:00,2.25,2.0,2.6777777777777776,5
2021-08-14 19:00:00,2021-08-14 20:15:00,1.5,2.4,2.766666666666666,19
2021-08-15 05:45:00,2021-08-15 09:45:00,4.25,1.7,2.6411764705882352,5
2021-08-15 20:15:00,2021-08-15 21:00:00,1.0,2.5,2.8000000000000003,20
2021-08-16 07:00:00,2021-08-16 09:30:00,2.75,2.3,2.772727272727273,7
2021-08-17 09:15:00,2021-08-17 10:15:00,1.25,2.8,2.8600000000000003,9
2021-08-18 09:30:00,2021-08-18 11:45:00,2.5,2.3,2.6599999999999997,9
2021-08-18 23:15:00,2021-08-19 01:00:00,2.0,2.4,2.75,23
2021-08-19 09:30:00,2021-08-19 13:45:00,4.5,2.0,2.511111111111111,9
2021-08-20 00:00:00,2021-08-20 02:45:00,3.0,2.2,2.608333333333333,0
2021-08-20 10:45:00,2021-08-20 14:45:00,4.25,2.1,2.5882352941176467,10
2021-08-21 01:00:00,2021-08-21 04:00:00,3.25,2.4,2.6846153846153844,1
2021-08-21 12:00:00,2021-08-21 15:30:00,3.75,2.2,2.6,12
2021-08-22 14:15:00,2021-08-22 15:00:00,1.0,2.7,2.8000000000000003,14
2021-08-23 02:45:00,2021-08-23 04:30:00,2.0,2.6,2.8125,2
2021-08-23 14:30:00,2021-08-23 16:15:00,2.0,2.6,2.7625,14
2021-08-24 03:00:00,2021-08-24 05:30:00,2.75,2.5,2.7909090909090906,3
2021-08-25 03:45:00,2021-08-25 05:30:00,2.0,2.7,2.8,3
2021-08-26 04:45:00,2021-08-26 05:30:00,1.0,2.6,2.8000000000000003,4
2021-09-17 11:15:00,2021-09-17 12:15:00,1.25,2.5,2.74,11
2021-09-18 00:30:00,2021-09-18 01:30:00,1.25,2.6,2.8000000000000003,0
2021-09-18 11:45:00,2021-09-18 13:30:00,2.0,2.5,2.7375,11
2021-09-19 01:30:00,2021-09-19 02:15:00,1.0,2.6,2.8000000000000003,1
2022-06-30 03:00:00,2022-06-30 04:15:00,1.5,2.6,2.766666666666666,3
2022-06-30 14:30:00,2022-06-30 15:30:00,1.25,2.1,2.56,14
2022-07-01 03:45:00,2022-07-01 04:45:00,1.25,2.4,2.7600000000000002,3
2022-07-07 07:45:00,2022-07-07 08:45:00,1.25,2.8,2.96,7
2022-07-10 10:45:00,2022-07-10 11:30:00,1.0,1.9,2.4,10
2022-07-11 10:30:00,2022-07-11 13:30:00,3.25,1.7,2.5846153846153848,10
2022-07-12 01:00:00,2022-07-12 03:15:00,2.5,2.4,2.6999999999999997,1
2022-07-12 11:30:00,2022-07-12 14:15:00,3.0,2.3,2.65,11
2022-07-13 01:45:00,2022-07-13 04:30:00,3.0,2.4,2.708333333333334,1
2022-07-13 12:15:00,2022-07-13 15:15:00,3.25,2.1,2.7615384615384615,12
2022-07-14 02:30:00,2022-07-14 05:30:00,3.25,1.9,2.661538461538462,2
2022-07-14 13:30:00,2022-07-14 16:15:00,3.0,2.1,2.6916666666666664,13
2022-07-15 02:45:00,2022-07-15 06:15:00,3.75,1.8,2.48,2
2022-07-15 14:00:00,2022-07-15 18:00:00,4.25,1.9,2.505882352941176,14
2022-07-16 03:45:00,2022-07-16 07:15:00,3.75,2.0,2.4799999999999995,3
2022-07-16 15:15:00,2022-07-16 18:30:00,3.5,2.1,2.6142857142857143,15
2022-07-17 04:45:00,2022-07-17 07:45:00,3.25,2.1,2.5923076923076924,4
2022-07-18 06:00:00,2022-07-18 07:30:00,1.75,2.6,2.7714285714285714,6
2022-07-19 07:15:00,2022-07-19 08:00:00,1.0,2.3,2.75,7
2022-08-06 07:45:00,2022-08-06 08:45:00,1.25,1.5,2.32,7
2022-08-07 08:00:00,2022-08-07 10:15:00,2.5,1.9,2.6999999999999993,8
2022-08-07 22:30:00,2022-08-07 23:30:00,1.25,2.1,2.5,22
2022-08-08 08:15:00,2022-08-08 11:45:00,3.75,2.1,2.6266666666666665,8
2022-08-08 22:30:00,2022-08-09 02:15:00,4.0,1.8,2.5062499999999996,22
2022-08-09 08:45:00,2022-08-09 14:00:00,5.5,1.4,2.290909090909091,8
2022-08-09 23:30:00,2022-08-10 03:15:00,4.0,1.6,2.4125,23
2022-08-10 10:15:00,2022-08-10 15:00:00,5.0,1.6,2.2150000000000003,10
2022-08-11 00:30:00,2022-08-11 04:15:00,4.0,1.3,2.28125,0
2022-08-11 11:15:00,2022-08-11 16:15:00,5.25,1.5,2.304761904761905,11
2022-08-12 01:00:00,2022-08-12 05:00:00,4.25,1.8,2.3294117647058825,1
2022-08-12 12:30:00,2022-08-12 16:45:00,4.5,1.5,2.5055555555555555,12
2022-08-13 02:30:00,2022-08-13 05:30:00,3.25,1.9,2.576923076923077,2
2022-08-14 04:30:00,2022-08-14 05:45:00,1.5,2.5,2.783333333333333,4
2022-08-17 06:00:00,2022-08-17 07:00:00,1.25,1.7,2.5799999999999996,6
2022-08-18 06:45:00,2022-08-18 08:00:00,1.5,2.3,2.766666666666666,6
2022-08-19 07:15:00,2022-08-19 08:45:00,1.75,2.4,2.7714285714285714,7
2022-08-20 06:15:00,2022-08-20 10:15:00,4.25,2.4,2.8705882352941177,6
2022-08-20 19:45:00,2022-08-20 23:00:00,3.5,1.6,2.5785714285714287,19
2022-08-21 06:15:00,2022-08-21 12:00:00,6.0,2.0,2.608333333333334,6
2022-08-21 20:15:00,2022-08-22 01:15:00,5.25,1.6,2.4999999999999996,20
2022-08-22 07:30:00,2022-08-22 13:00:00,5.75,1.5,2.4347826086956523,7
2022-08-22 21:00:00,2022-08-23 02:15:00,5.5,1.9,2.5772727272727276,21
2022-08-23 08:00:00,2022-08-23 14:00:00,6.25,1.8,2.4559999999999995,8
2022-08-23 22:00:00,2022-08-24 03:00:00,5.25,2.0,2.4904761904761905,22
2022-08-24 09:15:00,2022-08-24 14:45:00,5.75,2.0,2.3608695652173917,9
2022-08-24 23:00:00,2022-08-25 03:45:00,5.0,1.7,2.3400000000000007,23
2022-08-25 10:00:00,2022-08-25 15:45:00,6.0,1.9,2.3583333333333334,10
2022-08-25 23:45:00,2022-08-26 04:30:00,5.0,1.8,2.365,23
2022-08-26 11:30:00,2022-08-26 16:15:00,5.0,1.8,2.2499999999999996,11
2022-08-27 00:45:00,2022-08-27 05:00:00,4.5,1.8,2.316666666666667,0
2022-08-27 12:15:00,2022-08-27 16:45:00,4.75,1.9,2.3368421052631576,12
2022-08-28 01:45:00,2022-08-28 05:30:00,4.0,2.0,2.45625,1
2022-08-28 14:00:00,2022-08-28 16:30:00,2.75,2.4,2.672727272727273,14
2022-08-29 03:00:00,2022-08-29 05:15:00,2.5,2.4,2.7,3
2022-08-29 16:00:00,2022-08-29 16:45:00,1.0,2.8,2.875,16
2022-08-30 03:45:00,2022-08-30 05:30:00,2.0,2.6,2.7375,3
2022-08-30 16:30:00,2022-08-30 17:30:00,1.25,2.6,2.7800000000000002,16
2022-08-31 03:45:00,2022-08-31 06:45:00,3.25,2.2,2.723076923076923,3
