mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2021-04-13 02:30:00,2021-04-13 03:45:00,1.5,2.6,2.9,2
2021-05-04 07:45:00,2021-05-04 09:15:00,1.75,2.7,2.7857142857142856,7
2021-05-05 07:30:00,2021-05-05 09:45:00,2.5,2.6,2.76,7
2021-05-06 10:00:00,2021-05-06 11:00:00,1.25,2.7,2.8400000000000003,10
2021-05-23 23:15:00,2021-05-24 00:45:00,1.75,2.3,2.6428571428571423,23
2021-05-24 23:45:00,2021-05-25 01:45:00,2.25,2.0,2.511111111111111,23
2021-05-26 01:15:00,2021-05-26 03:00:00,2.0,2.3,2.6125,1
2021-05-27 02:15:00,2021-05-27 03:45:00,1.75,2.1,2.6,2
2021-05-28 01:30:00,2021-05-28 04:30:00,3.25,1.8,2.4923076923076923,1
2021-05-29 04:30:00,2021-05-29 05:45:00,1.5,2.6,2.783333333333333,4
2021-05-30 04:30:00,2021-05-30 05:45:00,1.5,2.1,2.5999999999999996,4
2021-05-31 05:15:00,2021-05-31 07:30:00,2.5,2.0,2.78,5
2021-06-01 06:30:00,2021-06-01 08:45:00,2.5,2.1,2.58,6
2021-06-02 06:15:00,2021-06-02 09:30:00,3.5,2.0,2.485714285714286,6
2021-06-03 06:00:00,2021-06-03 10:15:00,4.5,1.6,2.1833333333333336,6
2021-06-03 20:30:00,2021-06-03 22:00:00,1.75,2.2,2.657142857142857,20
2021-06-04 07:15:00,2021-06-04 10:45:00,3.75,1.5,2.206666666666666,7
2021-06-04 20:45:00,2021-06-04 23:30:00,3.0,2.2,2.5666666666666664,20
2021-06-05 08:00:00,2021-06-05 11:45:00,4.0,1.5,2.2375,8
2021-06-05 21:00:00,2021-06-06 00:30:00,3.75,1.5,2.3466666666666662,21
2021-06-06 08:45:00,2021-06-06 12:15:00,3.75,2.1,2.46,8
2021-06-06 21:00:00,2021-06-07 01:45:00,5.0,1.5,2.2150000000000003,21
2021-06-07 10:15:00,2021-06-07 12:30:00,2.5,2.4,2.76,10
2021-06-07 21:45:00,2021-06-08 02:15:00,4.75,1.2,2.110526315789474,21
2021-06-08 10:45:00,2021-06-08 12:30:00,2.0,2.7,2.775,10
2021-06-08 22:15:00,2021-06-09 02:45:00,4.75,1.7,2.2473684210526312,22
2021-06-09 22:45:00,2021-06-09 23:45:00,1.25,2.3,2.54,22
2021-06-23 11:00:00,2021-06-23 12:30:00,1.75,2.7,2.771428571428572,11
2021-06-24 01:15:00,2021-06-24 02:45:00,1.75,2.7,2.871428571428571,1
2021-06-25 02:00:00,2021-06-25 03:45:00,2.0,2.6,2.8,2
2021-06-26 01:30:00,2021-06-26 04:30:00,3.25,2.3,2.6923076923076925,1
2021-06-27 02:00:00,2021-06-27 05:30:00,3.75,2.3,2.5333333333333328,2
2021-06-28 02:45:00,2021-06-28 06:15:00,3.75,2.1,2.493333333333333,2
2021-06-29 04:45:00,2021-06-29 06:45:00,2.25,2.7,2.933333333333333,4
2021-06-30 03:45:00,2021-06-30 08:00:00,4.5,1.9,2.1888888888888887,3
2021-07-01 04:15:00,2021-07-01 08:45:00,4.75,1.8,2.1578947368421053,4
2021-07-02 05:00:00,2021-07-02 09:15:00,4.5,2.2,2.566666666666667,5
2021-07-02 19:45:00,2021-07-02 21:30:00,2.0,2.5,2.7125000000000004,19
2021-07-03 06:45:00,2021-07-03 10:00:00,3.5,2.2,2.5428571428571423,6
2021-07-03 20:45:00,2021-07-03 22:45:00,2.25,2.7,2.966666666666667,20
2021-07-04 07:00:00,2021-07-04 11:30:00,4.75,2.2,2.568421052631579,7
2021-07-04 21:30:00,2021-07-05 00:15:00,3.0,2.7,2.8250000000000006,21
2021-07-05 08:00:00,2021-07-05 12:00:00,4.25,2.3,2.5470588235294116,8
2021-07-05 21:30:00,2021-07-06 01:15:00,4.0,2.4,2.66875,21
2021-07-06 08:45:00,2021-07-06 12:45:00,4.25,2.3,2.664705882352941,8
2021-07-06 21:45:00,2021-07-07 01:45:00,4.25,2.0,2.4352941176470586,21
2021-07-07 09:00:00,2021-07-07 13:00:00,4.25,2.3,2.605882352941176,9
2021-07-08 22:30:00,2021-07-09 02:30:00,4.25,2.0,2.3294117647058825,22
2021-07-09 23:00:00,2021-07-10 03:15:00,4.5,1.9,2.1944444444444446,23
2021-07-11 00:00:00,2021-07-11 04:30:00,4.75,2.0,2.2368421052631584,0
2021-07-12 00:45:00,2021-07-12 05:15:00,4.75,2.3,2.4999999999999996,0
2021-07-13 01:30:00,2021-07-13 05:45:00,4.5,2.0,2.3111111111111113,1
2021-07-14 02:00:00,2021-07-14 06:30:00,4.75,1.9,2.215789473684211,2
2021-07-15 02:30:00,2021-07-15 07:15:00,5.0,1.8,2.0349999999999997,2
2021-07-16 03:15:00,2021-07-16 08:00:00,5.0,1.8,2.0799999999999996,3
2021-07-17 04:00:00,2021-07-17 08:45:00,5.0,1.1,2.04,4
2021-07-17 19:45:00,2021-07-17 20:45:00,1.25,2.6,2.8,19
2021-07-18 05:00:00,2021-07-18 09:30:00,4.75,1.9,2.1578947368421053,5
2021-07-18 18:30:00,2021-07-18 22:00:00,3.75,2.0,2.2800000000000002,18
2021-07-19 05:45:00,2021-07-19 10:15:00,4.75,1.8,2.136842105263158,5
2021-07-19 19:45:00,2021-07-19 22:45:00,3.25,2.1,2.461538461538462,19
2021-07-20 07:15:00,2021-07-20 11:15:00,4.25,2.1,2.364705882352941,7
2021-07-20 21:00:00,2021-07-21 00:15:00,3.5,2.6,2.8285714285714287,21
2021-07-21 07:45:00,2021-07-21 12:00:00,4.5,2.3,2.566666666666667,7
2021-07-21 22:00:00,2021-07-22 01:15:00,3.5,2.3,2.521428571428572,22
2021-07-22 09:15:00,2021-07-22 14:00:00,5.0,2.4,2.665,9
2021-07-22 22:45:00,2021-07-23 02:00:00,3.5,2.2,2.392857142857143,22
2021-07-24 00:00:00,2021-07-24 03:30:00,3.75,2.2,2.486666666666667,0
2021-07-25 00:45:00,2021-07-25 04:30:00,4.0,2.2,2.50625,0
2021-07-26 01:15:00,2021-07-26 05:00:00,4.0,2.1,2.33125,1
2021-07-27 01:45:00,2021-07-27 06:00:00,4.5,2.1,2.394444444444445,1
2021-07-28 02:45:00,2021-07-28 06:15:00,3.75,2.2,2.5533333333333332,2
2021-07-29 02:45:00,2021-07-29 08:00:00,5.5,2.1,2.522727272727273,2
2021-07-30 03:00:00,2021-07-30 09:00:00,6.25,1.5,1.976,3
2021-07-31 04:15:00,2021-07-31 10:00:00,6.0,1.5,2.095833333333333,4
2021-07-31 19:15:00,2021-07-31 20:00:00,1.0,2.7,2.8,19
2021-08-01 05:30:00,2021-08-01 10:45:00,5.5,1.7,2.1363636363636362,5
2021-08-02 07:15:00,2021-08-02 09:30:00,2.5,2.1,2.4400000000000004,7
2021-08-02 19:45:00,2021-08-02 22:30:00,3.0,2.3,2.5749999999999997,19
