dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,aceei,2.0,30,3,0.5
288653,aceei,2.0,60,0,0.0
288653,aceei,2.0,120,0,0.0
288653,aceei,2.0,240,0,0.0
288653,aceei,2.5,30,21,3.7
288653,aceei,2.5,60,8,1.4
288653,aceei,2.5,120,4,0.7
288653,aceei,2.5,240,0,0.0
288653,aceei,3.0,30,151,26.6
288653,aceei,3.0,60,91,16.0
288653,aceei,3.0,120,65,11.4
288653,aceei,3.0,240,25,4.4
288653,aceei,3.5,30,485,85.3
288653,aceei,3.5,60,390,68.6
288653,aceei,3.5,120,322,56.6
288653,aceei,3.5,240,200,35.2
288653,aceei,4.0,30,935,164.4
288653,aceei,4.0,60,819,144.0
288653,aceei,4.0,120,725,127.5
288653,aceei,4.0,240,562,98.8
