dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,acefc,2.0,30,85,15.1
288653,acefc,2.0,60,47,8.3
288653,acefc,2.0,120,15,2.7
288653,acefc,2.0,240,3,0.5
288653,acefc,2.5,30,335,59.3
288653,acefc,2.5,60,233,41.3
288653,acefc,2.5,120,119,21.1
288653,acefc,2.5,240,59,10.4
288653,acefc,3.0,30,776,137.4
288653,acefc,3.0,60,609,107.8
288653,acefc,3.0,120,449,79.5
288653,acefc,3.0,240,319,56.5
288653,acefc,3.5,30,1033,182.9
288653,acefc,3.5,60,872,154.4
288653,acefc,3.5,120,715,126.6
288653,acefc,3.5,240,591,104.7
288653,acefc,4.0,30,1025,181.5
288653,acefc,4.0,60,886,156.9
288653,acefc,4.0,120,762,134.9
288653,acefc,4.0,240,668,118.3
