dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,acefj,2.0,30,1,0.2
288653,acefj,2.0,60,1,0.2
288653,acefj,2.0,120,1,0.2
288653,acefj,2.0,240,1,0.2
288653,acefj,2.5,30,1,0.2
288653,acefj,2.5,60,1,0.2
288653,acefj,2.5,120,1,0.2
288653,acefj,2.5,240,1,0.2
288653,acefj,3.0,30,1,0.2
288653,acefj,3.0,60,1,0.2
288653,acefj,3.0,120,1,0.2
288653,acefj,3.0,240,1,0.2
288653,acefj,3.5,30,52,9.1
288653,acefj,3.5,60,28,4.9
288653,acefj,3.5,120,8,1.4
288653,acefj,3.5,240,1,0.2
288653,acefj,4.0,30,320,56.3
288653,acefj,4.0,60,244,42.9
288653,acefj,4.0,120,153,26.9
288653,acefj,4.0,240,56,9.8
