dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,acegp,2.0,30,7,1.2
288653,acegp,2.0,60,7,1.2
288653,acegp,2.0,120,3,0.5
288653,acegp,2.0,240,0,0.0
288653,acegp,2.5,30,26,4.6
288653,acegp,2.5,60,22,3.9
288653,acegp,2.5,120,18,3.2
288653,acegp,2.5,240,15,2.6
288653,acegp,3.0,30,20,3.5
288653,acegp,3.0,60,17,3.0
288653,acegp,3.0,120,14,2.5
288653,acegp,3.0,240,13,2.3
288653,acegp,3.5,30,11,1.9
288653,acegp,3.5,60,11,1.9
288653,acegp,3.5,120,7,1.2
288653,acegp,3.5,240,6,1.1
288653,acegp,4.0,30,79,13.9
288653,acegp,4.0,60,67,11.8
288653,acegp,4.0,120,51,9.0
288653,acegp,4.0,240,22,3.9
