dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,aceji,2.0,30,9,1.6
288653,aceji,2.0,60,2,0.4
288653,aceji,2.0,120,0,0.0
288653,aceji,2.0,240,0,0.0
288653,aceji,2.5,30,44,7.8
288653,aceji,2.5,60,15,2.7
288653,aceji,2.5,120,6,1.1
288653,aceji,2.5,240,3,0.5
288653,aceji,3.0,30,101,17.9
288653,aceji,3.0,60,40,7.1
288653,aceji,3.0,120,28,5.0
288653,aceji,3.0,240,14,2.5
288653,aceji,3.5,30,252,44.6
288653,aceji,3.5,60,123,21.8
288653,aceji,3.5,120,90,15.9
288653,aceji,3.5,240,54,9.6
288653,aceji,4.0,30,468,82.9
288653,aceji,4.0,60,291,51.5
288653,aceji,4.0,120,206,36.5
288653,aceji,4.0,240,145,25.7
