dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,acemc,2.0,30,33,5.8
288653,acemc,2.0,60,10,1.8
288653,acemc,2.0,120,5,0.9
288653,acemc,2.0,240,1,0.2
288653,acemc,2.5,30,145,25.7
288653,acemc,2.5,60,69,12.2
288653,acemc,2.5,120,45,8.0
288653,acemc,2.5,240,14,2.5
288653,acemc,3.0,30,444,78.6
288653,acemc,3.0,60,291,51.5
288653,acemc,3.0,120,194,34.3
288653,acemc,3.0,240,61,10.8
288653,acemc,3.5,30,882,156.0
288653,acemc,3.5,60,649,114.8
288653,acemc,3.5,120,494,87.4
288653,acemc,3.5,240,270,47.8
288653,acemc,4.0,30,1180,208.8
288653,acemc,4.0,60,926,163.8
288653,acemc,4.0,120,756,133.7
288653,acemc,4.0,240,480,84.9
