dataset,label,ambang_mgL,durasi_min_menit,n_episode,per_tahun
288653,acesp,2.0,30,501,88.1
288653,acesp,2.0,60,445,78.3
288653,acesp,2.0,120,307,54.0
288653,acesp,2.0,240,79,13.9
288653,acesp,2.5,30,918,161.4
288653,acesp,2.5,60,844,148.4
288653,acesp,2.5,120,708,124.5
288653,acesp,2.5,240,309,54.3
288653,acesp,3.0,30,1189,209.1
288653,acesp,3.0,60,1118,196.6
288653,acesp,3.0,120,999,175.7
288653,acesp,3.0,240,621,109.2
288653,acesp,3.5,30,1450,255.0
288653,acesp,3.5,60,1387,243.9
288653,acesp,3.5,120,1256,220.9
288653,acesp,3.5,240,925,162.7
288653,acesp,4.0,30,1722,302.8
288653,acesp,4.0,60,1646,289.4
288653,acesp,4.0,120,1501,263.9
288653,acesp,4.0,240,1184,208.2
