dataset,stasiun,bulan,DO_rata,episode_D1
23953,gndbcwq,1,8.36,0
23953,gndbcwq,2,8.01,0
23953,gndbcwq,3,6.9,0
23953,gndbcwq,4,6.25,2
23953,gndbcwq,5,5.54,2
23953,gndbcwq,6,4.85,25
23953,gndbcwq,7,4.91,55
23953,gndbcwq,8,4.76,87
23953,gndbcwq,9,4.72,73
23953,gndbcwq,10,5.61,22
23953,gndbcwq,11,6.67,7
23953,gndbcwq,12,7.68,0
23953,gndbhwq,1,6.18,33
23953,gndbhwq,2,5.64,45
23953,gndbhwq,3,4.48,62
23953,gndbhwq,4,3.93,85
23953,gndbhwq,5,3.35,88
23953,gndbhwq,6,2.45,118
23953,gndbhwq,7,1.33,52
23953,gndbhwq,8,2.05,95
23953,gndbhwq,9,2.62,85
23953,gndbhwq,10,4.28,46
23953,gndbhwq,11,5.63,16
23953,gndbhwq,12,5.74,15
23953,gndblwq,1,9.15,0
23953,gndblwq,2,8.82,0
23953,gndblwq,3,8.0,0
23953,gndblwq,4,7.34,0
23953,gndblwq,5,6.66,0
23953,gndblwq,6,6.19,2
23953,gndblwq,7,5.97,7
23953,gndblwq,8,5.59,20
23953,gndblwq,9,5.72,15
23953,gndblwq,10,6.29,12
23953,gndblwq,11,7.51,0
23953,gndblwq,12,8.47,0
23953,gndpcwq,1,9.45,0
23953,gndpcwq,2,9.2,0
23953,gndpcwq,3,8.22,1
23953,gndpcwq,4,7.62,2
23953,gndpcwq,5,7.1,0
23953,gndpcwq,6,6.77,0
23953,gndpcwq,7,6.68,0
23953,gndpcwq,8,6.27,4
23953,gndpcwq,9,6.46,0
23953,gndpcwq,10,7.44,0
23953,gndpcwq,11,8.06,0
23953,gndpcwq,12,8.75,0
288653,aceei,1,8.63,0
288653,aceei,2,8.43,0
288653,aceei,3,7.2,0
288653,aceei,4,6.26,0
288653,aceei,5,5.46,0
288653,aceei,6,5.05,3
288653,aceei,7,4.68,14
288653,aceei,8,4.55,60
288653,aceei,9,4.93,14
288653,aceei,10,5.73,0
288653,aceei,11,6.71,0
288653,aceei,12,7.78,0
288653,acefc,1,9.12,0
288653,acefc,2,8.33,0
288653,acefc,3,6.54,0
288653,acefc,4,5.69,0
288653,acefc,5,4.77,16
288653,acefc,6,4.01,108
288653,acefc,7,3.43,225
288653,acefc,8,3.26,209
288653,acefc,9,3.83,50
288653,acefc,10,5.09,1
288653,acefc,11,6.66,0
288653,acefc,12,8.22,0
288653,acefj,1,8.97,0
288653,acefj,2,9.01,0
288653,acefj,3,7.92,0
288653,acefj,4,6.91,0
288653,acefj,5,6.08,0
288653,acefj,6,5.67,0
288653,acefj,7,4.93,1
288653,acefj,8,4.84,0
288653,acefj,9,5.37,0
288653,acefj,10,6.31,0
288653,acefj,11,7.27,0
288653,acefj,12,8.39,0
288653,acegp,1,9.99,0
288653,acegp,2,9.23,0
288653,acegp,3,7.44,0
288653,acegp,4,6.91,0
288653,acegp,5,6.53,0
288653,acegp,6,5.81,0
288653,acegp,7,5.43,0
288653,acegp,8,4.78,14
288653,acegp,9,5.03,3
288653,acegp,10,6.26,0
288653,acegp,11,7.85,0
288653,acegp,12,9.3,0
288653,aceji,1,9.64,0
288653,aceji,2,9.18,0
288653,aceji,3,7.59,0
288653,aceji,4,6.8,0
288653,aceji,5,6.11,0
288653,aceji,6,5.57,5
288653,aceji,7,4.92,3
288653,aceji,8,4.24,27
288653,aceji,9,4.7,5
288653,aceji,10,5.97,0
288653,aceji,11,7.36,0
288653,aceji,12,8.71,0
288653,acemc,1,8.92,0
288653,acemc,2,8.63,0
288653,acemc,3,7.07,0
288653,acemc,4,6.19,0
288653,acemc,5,5.2,0
288653,acemc,6,4.81,19
288653,acemc,7,4.14,100
288653,acemc,8,3.67,143
288653,acemc,9,4.2,29
288653,acemc,10,5.34,0
288653,acemc,11,6.7,0
288653,acemc,12,7.97,0
288653,acesp,1,8.49,0
288653,acesp,2,8.26,0
288653,acesp,3,7.05,0
288653,acesp,4,6.07,7
288653,acesp,5,5.09,122
288653,acesp,6,4.57,205
288653,acesp,7,4.16,263
288653,acesp,8,4.1,242
288653,acesp,9,4.47,194
288653,acesp,10,5.29,73
288653,acesp,11,6.42,12
288653,acesp,12,7.69,0
