dataset,stasiun,definisi,n_episode,total_jam_valid,jam_dalam_episode,persen_waktu_episode,persen_waktu_JJA,persen_waktu_DJF,jam_episode_NaN
23953,gndbcwq,D1,273,51975.0,1170.5,2.25,6.13,0.0,0.0
23953,gndbcwq,D3,149,51975.0,557.0,1.07,3.03,0.0,0.0
23953,gndbcwq,D4,190,51975.0,580.0,1.12,1.34,1.37,0.0
23953,gndbhwq,D1,740,52796.5,19621.5,37.16,72.98,10.2,27.0
23953,gndbhwq,D3,0,52796.5,0.0,0.0,0.0,0.0,0.0
23953,gndbhwq,D4,71,52796.5,595.75,1.13,1.21,1.61,3.25
23953,gndblwq,D1,56,50746.0,192.25,0.38,0.98,0.0,0.0
23953,gndblwq,D3,138,50746.0,489.25,0.96,2.26,0.0,0.25
23953,gndblwq,D4,171,50746.0,528.75,1.04,1.0,1.1,0.0
23953,gndpcwq,D1,7,34926.0,25.5,0.07,0.16,0.0,0.0
23953,gndpcwq,D3,88,34926.0,355.25,1.02,2.34,0.04,0.0
23953,gndpcwq,D4,92,34926.0,360.5,1.03,0.81,0.97,0.0
288653,aceei,D1,91,47675.25,273.5,0.57,1.75,0.0,0.0
288653,aceei,D3,137,47675.25,415.5,0.87,2.62,0.0,0.0
288653,aceei,D4,151,47675.25,415.0,0.87,1.34,0.01,0.0
288653,acefc,D1,609,49275.25,3094.0,6.28,21.97,0.0,0.75
288653,acefc,D3,175,49275.25,450.25,0.91,3.4,0.0,0.0
288653,acefc,D4,192,49275.25,425.25,0.86,0.39,1.6,0.0
288653,acefj,D1,1,45534.0,45.75,0.1,0.38,0.0,0.0
288653,acefj,D3,181,45534.0,487.0,1.07,3.78,0.0,0.25
288653,acefj,D4,220,45534.0,456.0,1.0,2.95,0.0,0.0
288653,acegp,D1,17,49053.25,338.25,0.69,2.21,0.0,0.0
288653,acegp,D3,10,49053.25,476.75,0.97,3.16,0.0,0.0
288653,acegp,D4,142,49053.25,469.25,0.96,1.59,0.71,0.0
288653,aceji,D1,40,46008.5,254.75,0.55,1.96,0.0,0.0
288653,aceji,D3,50,46008.5,339.75,0.74,2.48,0.0,0.0
288653,aceji,D4,101,46008.5,224.75,0.49,1.15,0.0,0.0
288653,acemc,D1,291,45282.0,1026.5,2.27,7.81,0.0,0.0
288653,acemc,D3,91,45282.0,359.25,0.79,2.9,0.0,0.0
288653,acemc,D4,137,45282.0,226.75,0.5,1.07,0.02,0.0
288653,acesp,D1,1118,46859.25,4338.5,9.26,23.77,0.0,0.25
288653,acesp,D3,157,46859.25,353.5,0.75,2.27,0.0,0.0
288653,acesp,D4,240,46859.25,448.25,0.96,1.22,0.22,0.0
