dataset,stasiun,sd_DO,ragam_musiman_%,ragam_harian_%,ragam_residual_%,jumlah_per_total,amplitudo_diurnal,jam_puncak,jam_lembah
23953,gndbcwq,1.78,64.9,10.4,24.6,1.03,1.56,16,6
23953,gndbhwq,2.31,73.8,1.1,25.1,1.05,0.65,16,7
23953,gndblwq,1.66,65.5,11.6,22.8,1.02,1.57,16,6
23953,gndpcwq,1.5,63.0,12.0,25.0,1.01,1.52,16,6
288653,aceei,1.64,81.2,2.6,16.1,0.99,0.67,19,3
288653,acefc,2.13,92.1,1.7,6.2,1.0,0.78,17,8
288653,acefj,1.63,90.2,1.2,8.6,0.99,0.45,16,3
288653,acegp,1.89,95.5,0.5,4.0,0.99,0.32,17,7
288653,aceji,1.9,94.5,0.4,5.0,0.97,0.3,17,8
288653,acemc,1.88,92.1,0.7,7.2,0.98,0.34,18,7
288653,acesp,2.0,64.5,6.5,29.0,0.95,1.29,16,3
