dataset,stasiun,musim,amplitudo_diurnal,jam_puncak,jam_lembah,episode_D1
23953,gndbcwq,DJF,1.59,17,7,0
23953,gndbcwq,MAM,1.69,15,5,4
23953,gndbcwq,JJA,1.71,15,6,167
23953,gndbcwq,SON,1.47,16,7,102
23953,gndbhwq,DJF,0.78,16,6,93
23953,gndbhwq,MAM,0.59,16,6,235
23953,gndbhwq,JJA,0.66,18,6,265
23953,gndbhwq,SON,0.64,16,7,147
23953,gndblwq,DJF,1.24,16,7,0
23953,gndblwq,MAM,1.75,15,6,0
23953,gndblwq,JJA,2.14,15,6,29
23953,gndblwq,SON,1.36,16,7,27
23953,gndpcwq,DJF,1.34,15,7,0
23953,gndpcwq,MAM,1.47,16,6,3
23953,gndpcwq,JJA,1.84,16,6,4
23953,gndpcwq,SON,1.55,15,7,0
288653,aceei,DJF,0.29,19,2,0
288653,aceei,MAM,0.66,20,4,0
288653,aceei,JJA,1.09,19,5,77
288653,aceei,SON,0.78,19,2,14
288653,acefc,DJF,0.48,18,9,0
288653,acefc,MAM,0.83,17,9,16
288653,acefc,JJA,1.09,17,8,542
288653,acefc,SON,0.73,16,9,51
288653,acefj,DJF,0.38,15,3,0
288653,acefj,MAM,0.46,16,3,0
288653,acefj,JJA,0.64,17,5,1
288653,acefj,SON,0.37,19,3,0
288653,acegp,DJF,0.07,15,8,0
288653,acegp,MAM,0.39,17,7,0
288653,acegp,JJA,0.61,16,7,14
288653,acegp,SON,0.19,16,7,3
288653,aceji,DJF,0.15,17,9,0
288653,aceji,MAM,0.31,17,8,0
288653,aceji,JJA,0.55,17,7,35
288653,aceji,SON,0.21,17,8,5
288653,acemc,DJF,0.14,17,1,0
288653,acemc,MAM,0.31,20,7,0
288653,acemc,JJA,0.67,19,6,262
288653,acemc,SON,0.37,17,2,29
288653,acesp,DJF,0.9,16,1,0
288653,acesp,MAM,1.37,16,3,129
288653,acesp,JJA,1.69,16,5,710
288653,acesp,SON,1.36,15,1,279
