dataset,label,definisi,n_episode,per_tahun,durasi_median_jam,durasi_maks_jam,nilai_min
23953,gndbcwq,D1 ambang<3.0 & >=60mnt,273,41.062070503856354,2.75,39.5,0.1
23953,gndbcwq,D2 laju turun >0.5 mg/L/jam,5390,810.7126740504972,2.25,43.75,0.1
23953,gndbcwq,D3 persentil 1.0% (=2.60 mg/L),149,22.41116668525493,2.5,20.0,0.1
23953,gndbcwq,D4 residual kontekstual 1.0%,190,28.57799778656669,2.0,21.5,0.1
23953,gndbhwq,D1 ambang<3.0 & >=60mnt,740,110.95490795578456,9.375,581.75,0.0
23953,gndbhwq,D2 laju turun >0.5 mg/L/jam,5747,861.6998054349917,2.25,62.75,0.0
23953,gndbhwq,D3 persentil 1.0% (=0.00 mg/L),0,0.0,,,
23953,gndbhwq,D4 residual kontekstual 1.0%,71,10.645673601163113,4.5,46.5,0.0
23953,gndblwq,D1 ambang<3.0 & >=60mnt,56,8.3965876290864,2.125,16.0,0.8
23953,gndblwq,D2 laju turun >0.5 mg/L/jam,5656,848.0553505377263,1.75,24.25,0.0
23953,gndblwq,D3 persentil 1.0% (=3.60 mg/L),138,20.69159094310577,2.25,44.5,0.8
23953,gndblwq,D4 residual kontekstual 1.0%,171,25.63958008167454,2.0,15.25,0.8
23953,gndpcwq,D1 ambang<3.0 & >=60mnt,7,1.0558765201605445,2.0,8.25,1.7
23953,gndpcwq,D2 laju turun >0.5 mg/L/jam,2260,340.8972765089758,1.25,14.25,1.7
23953,gndpcwq,D3 persentil 1.0% (=4.70 mg/L),88,13.273876253446845,3.0,18.75,1.7
23953,gndpcwq,D4 residual kontekstual 1.0%,92,13.877234264967155,3.25,19.0,1.7
288653,aceei,D1 ambang<3.0 & >=60mnt,91,16.00212637913741,3.0,5.5,1.4
288653,aceei,D2 laju turun >0.5 mg/L/jam,2963,521.0362688064192,1.5,6.0,1.4
288653,aceei,D3 persentil 1.0% (=3.10 mg/L),137,24.09111334002006,2.75,6.0,1.4
288653,aceei,D4 residual kontekstual 1.0%,151,26.55297893681043,2.75,6.0,1.4
288653,acefc,D1 ambang<3.0 & >=60mnt,609,107.84945302477803,4.25,38.75,0.7
288653,acefc,D2 laju turun >0.5 mg/L/jam,3761,666.0456368246143,1.25,10.25,0.7
288653,acefc,D3 persentil 1.0% (=2.40 mg/L),175,30.991222133556906,2.0,8.5,0.7
288653,acefc,D4 residual kontekstual 1.0%,192,34.00179799795958,1.75,6.25,0.9
288653,acefj,D1 ambang<3.0 & >=60mnt,1,0.17584666074894306,45.75,45.75,0.0
288653,acefj,D2 laju turun >0.5 mg/L/jam,4924,865.8689575277957,1.75,21.0,0.0
288653,acefj,D3 persentil 1.0% (=3.90 mg/L),181,31.8282455955587,2.0,47.0,0.0
288653,acefj,D4 residual kontekstual 1.0%,220,38.68626536476748,1.5,47.0,0.0
288653,acegp,D1 ambang<3.0 & >=60mnt,17,2.9894082246740217,9.0,87.5,1.8
288653,acegp,D2 laju turun >0.5 mg/L/jam,629,110.6081043129388,1.0,4.75,1.8
288653,acegp,D3 persentil 1.0% (=3.40 mg/L),10,1.7584754262788365,17.75,242.75,1.8
288653,acegp,D4 residual kontekstual 1.0%,142,24.970351053159476,2.125,34.25,1.8
288653,aceji,D1 ambang<3.0 & >=60mnt,40,7.083779470292329,2.75,75.5,0.8
288653,aceji,D2 laju turun >0.5 mg/L/jam,2406,426.0893351380836,0.75,8.5,0.8
288653,aceji,D3 persentil 1.0% (=3.10 mg/L),50,8.854724337865411,2.75,139.5,0.8
288653,aceji,D4 residual kontekstual 1.0%,101,17.88654316248813,1.5,7.25,0.8
288653,acemc,D1 ambang<3.0 & >=60mnt,291,51.48275183531371,2.5,203.75,1.3
288653,acemc,D2 laju turun >0.5 mg/L/jam,2752,486.8746840233104,0.75,6.25,1.3
288653,acemc,D3 persentil 1.0% (=2.60 mg/L),91,16.099417240596384,2.5,40.5,1.3
288653,acemc,D4 residual kontekstual 1.0%,137,24.23758419738137,1.5,8.75,1.3
288653,acesp,D1 ambang<3.0 & >=60mnt,1118,196.59853860851862,4.0,7.0,0.1
288653,acesp,D2 laju turun >0.5 mg/L/jam,4554,800.8137252443594,2.25,19.0,0.1
288653,acesp,D3 persentil 1.0% (=1.60 mg/L),157,27.608202648960127,2.25,4.25,0.1
288653,acesp,D4 residual kontekstual 1.0%,240,42.203621883760704,1.75,4.5,0.1
