dataset,stasiun,korelasi_Temp,korelasi_Sal,korelasi_Depth,amplitudo_diurnal,simpangan_baku,rasio_amplitudo_sd
23953,gndbcwq,-0.709,0.258,-0.079,1.59,1.78,0.9
23953,gndbhwq,-0.746,0.292,-0.08,0.65,2.31,0.28
23953,gndblwq,-0.756,0.117,-0.091,1.63,1.66,0.98
23953,gndpcwq,-0.744,0.095,-0.136,1.52,1.5,1.01
288653,aceei,-0.889,-0.08,0.331,0.67,1.64,0.41
288653,acefc,-0.929,-0.07,0.024,0.78,2.13,0.37
288653,acefj,-0.909,-0.097,-0.097,0.45,1.63,0.28
288653,acegp,-0.889,-0.144,-0.055,0.32,1.89,0.17
288653,aceji,-0.923,-0.274,-0.132,0.3,1.9,0.16
288653,acemc,-0.927,-0.022,0.061,0.34,1.88,0.18
288653,acesp,-0.768,-0.089,0.337,1.29,2.0,0.65
