dataset,stasiun,n_sumber,mulai,selesai,tahun,titik_grid,DO_terisi,kelengkapan_%,dibuang_QAQC,DO_min,DO_p1,DO_median,jam_dibawah_3,berkas
23953,gndbcwq,1,2020-01-01,2026-08-25,6.65,233123,207900,89.2,14729,0.1,2.6,6.1,1014.2,hasil\23953\bersih\gndbcwq.csv
23953,gndbhwq,1,2020-01-01,2026-09-01,6.67,233856,211186,90.3,20258,0.0,0.0,4.0,18731.8,hasil\23953\bersih\gndbhwq.csv
23953,gndblwq,1,2020-01-01,2026-09-01,6.67,233856,202984,86.8,27384,0.0,3.6,7.1,181.5,hasil\23953\bersih\gndblwq.csv
23953,gndpcwq,1,2020-01-01,2026-08-18,6.63,232460,139704,60.1,23000,1.7,4.7,7.7,28.5,hasil\23953\bersih\gndpcwq.csv
288653,aceei,6,2021-01-01,2026-09-09,5.69,199401,190701,95.6,3061,1.4,3.1,6.2,317.5,hasil\288653\bersih\aceei.csv
288653,acefc,6,2021-01-01,2026-08-25,5.65,197999,197101,99.5,89,0.7,2.4,5.4,3032.0,hasil\288653\bersih\acefc.csv
288653,acefj,6,2021-01-01,2026-09-09,5.69,199402,182136,91.3,11008,0.0,3.9,6.7,48.0,hasil\288653\bersih\acefj.csv
288653,acegp,6,2021-01-01,2026-09-09,5.69,199401,196213,98.4,1799,1.8,3.4,6.8,333.8,hasil\288653\bersih\acegp.csv
288653,aceji,6,2021-01-01,2026-08-25,5.65,197997,184034,92.9,8594,0.8,3.1,6.7,316.0,hasil\288653\bersih\aceji.csv
288653,acemc,6,2021-01-01,2026-08-27,5.65,198196,181128,91.4,4869,1.3,2.6,5.9,1155.5,hasil\288653\bersih\acemc.csv
288653,acesp,6,2021-01-01,2026-09-09,5.69,199400,187437,94.0,11866,0.1,1.6,6.0,4286.2,hasil\288653\bersih\acesp.csv
